"gene","logFC_baseline","FDR_baseline","logFC_adjusted","FDR_adjusted","sig_baseline","sig_adjusted"
"NDUFAF8",-0.195105413717127,0.000259917698527867,-0.164555719685378,0.00569272481353224,FALSE,FALSE
"MCRIP2",-0.152276462463803,0.000260460699579461,-0.134385123779371,0.0042428372254555,FALSE,FALSE
"C17orf49",-0.173271578658259,0.000260489686291968,-0.179421725889506,0.000673123651654993,FALSE,FALSE
"MRPL45P2",-0.249784712289934,0.000261295577425152,-0.227566507022408,0.00323117890152037,FALSE,FALSE
"LYPLA1",0.20996242829898,0.00026137229332823,0.160335355050168,0.00938154885215646,FALSE,FALSE
"HSD17B8",-0.188133860382622,0.000261827073233029,-0.14380535789492,0.0134452314014861,FALSE,FALSE
"ASXL1",-0.096591072038101,0.000262928572550538,-0.0928494898488121,0.0016704170742544,FALSE,FALSE
"LINC00861",-0.159690509347942,0.000263966965960363,-0.184954912154687,0.00014901321671801,FALSE,FALSE
"EFCAB12",0.312547673127643,0.00026560796544802,0.280182481628397,0.00322161296888034,FALSE,FALSE
"H3P6",0.226666550282442,0.00026560796544802,0.198407115324764,0.00467562293988146,FALSE,FALSE
"TRGC1",-0.258094457377967,0.000265830602546556,-0.265373925845455,0.000894751184153177,FALSE,FALSE
"LYSMD1",0.305324701192616,0.000266904971719868,0.250244006485374,0.00613724459158417,FALSE,FALSE
"RRP1",-0.122242810943695,0.000268119786889103,-0.0957305816149567,0.0110604854903107,FALSE,FALSE
"H2AC19",0.404626574563021,0.000269051639776224,0.415240642290008,0.000796746453094267,FALSE,FALSE
"SLC41A1",-0.139298271383346,0.00026941122272988,-0.133869137228105,0.00194135263053425,FALSE,FALSE
"NIBAN1",0.326598153590603,0.00026941122272988,0.29592763866478,0.00360381932587947,FALSE,FALSE
