"gene","logFC","logCPM","F","PValue","FDR","sig"
"GBP6",1.81877266661751,1.17354876044497,156.247105058792,4.66309573316216e-30,7.71975498624995e-26,TRUE
"FCGR1CP",1.84949336137253,2.29128810537475,152.464695065143,2.04505012017759e-29,1.692790236977e-25,TRUE
"GBP5",1.18890686789667,9.09803865459627,133.173212238967,2.12547433535581e-26,1.17290758739385e-22,TRUE
"H2BP2",1.76388527692984,0.738437398490107,129.626181867871,6.503091927564e-26,2.69146717152055e-22,TRUE
"ANKRD22",1.81177561753519,3.89009731977138,129.164131864637,9.36172068876207e-26,3.09966572004912e-22,TRUE
"PDCD1LG2",1.54106420549046,1.27559189959456,115.875650967422,1.27444169478522e-23,3.51639704286156e-20,TRUE
"CD274",1.28390183847581,5.17385908024353,111.555603992122,7.12246127290221e-23,1.68446209104137e-19,TRUE
"FCGR1B",1.19308218597994,4.28604640290344,111.066798632217,8.60562585012375e-23,1.78082669935998e-19,TRUE
"GBP1",1.07606880780374,7.73034362296458,109.477456580908,1.58530742913012e-22,2.66728611654503e-19,TRUE
"SCARF1",0.899657634390327,6.11708328325233,109.435764683596,1.61116648537905e-22,2.66728611654503e-19,FALSE
"FCGR1A",1.3570102806789,4.70474285884253,107.236033847018,3.77831235981365e-22,5.68636010151954e-19,TRUE
"LINC02555",1.13391724814683,2.33828104678655,106.590968260909,4.87854496244316e-22,6.73035932110388e-19,TRUE
"DUSP3",0.560528142970029,5.82672049514045,103.633150593737,1.53669357854581e-21,1.95357113608132e-18,FALSE
"LHFPL2",0.780899036886489,4.48233553434491,103.45010710807,1.65206861402226e-21,1.95357113608132e-18,FALSE
"GBP1P1",1.3065608844806,2.68168914691231,102.814090731843,2.13274063277701e-21,2.35383474504156e-18,TRUE
"BATF2",1.55333593853075,4.69937571652031,101.469704821891,3.59265968817793e-21,3.71728007111161e-18,TRUE
"GBP2",0.607652462695419,9.0176511769537,99.0566171760846,9.29217547319684e-21,9.04893911522198e-18,FALSE
"SORT1",0.606995411394912,5.96652952354609,96.4436903039756,2.61860026363131e-20,2.40838485357868e-17,FALSE
"SECTM1",0.787204908992578,8.57479291844982,93.3504285339559,8.9985426651181e-20,7.84057230637001e-17,FALSE
"AC243772.2",1.1288624984585,1.54304195784605,92.9920161556077,1.02057973628496e-19,8.44784876709873e-17,TRUE
"TAP1",0.532656240038975,9.0514738336734,92.7024060764731,1.16675343267619e-19,9.19790622759726e-17,FALSE
"APOL4",1.5823392095166,1.44907512435701,91.9418831673243,1.52995517258743e-19,1.14933452327594e-16,TRUE
"PSTPIP2",0.709002643549283,6.40492075570771,91.9210482123216,1.59678006858029e-19,1.14933452327594e-16,FALSE
"RAP1GAP",1.93436467765624,2.02492527523994,90.1683409771049,3.19115224626944e-19,2.20123022654127e-16,TRUE
"APOL6",0.633220177371882,7.76783294888205,89.6900761101894,3.92300149642548e-19,2.59781159093295e-16,FALSE
"ZNF767P",-0.212976700683982,5.35943496261583,88.5305252129671,6.27196791034684e-19,3.99355495214584e-16,FALSE
