"gene","logFC_baseline","FDR_baseline","logFC_adjusted","FDR_adjusted","sig_baseline","sig_adjusted"
"SEPTIN4",1.6253638380819,1.88403342157499e-25,1.58799303125297,9.23027858750495e-25,TRUE,TRUE
"ANKRD22",1.82042957098079,6.08989870005221e-24,1.7585651327836,2.26527218457866e-22,TRUE,TRUE
"C1QC",1.72117778661297,6.96827143620731e-21,1.70721697027868,6.03234073030551e-22,TRUE,TRUE
"BATF2",1.55805766544991,1.07464553499491e-20,1.56887879656337,3.22233090021428e-21,TRUE,TRUE
"LAP3",0.948316347916503,2.91906407690668e-20,0.920425060008035,1.3970765952469e-19,FALSE,FALSE
"SERPING1",1.65795443280729,9.31864007815606e-20,1.65360900416591,3.28752681941195e-20,TRUE,TRUE
"C1QB",1.55421571398592,1.09273961913417e-19,1.56034060245224,2.29096589003276e-21,TRUE,TRUE
"APOL4",1.50908025912955,1.35540198857185e-19,1.49631090629951,7.97373703808683e-20,TRUE,TRUE
"C2",1.17682887755893,2.8315317942704e-19,1.18819244862438,7.97373703808683e-20,TRUE,TRUE
"CD274",1.20371721048075,1.23009944402671e-18,1.17700773434182,3.95684610760438e-18,TRUE,TRUE
"FAM20A",1.2318910194294,2.05240396279053e-18,1.24132265485018,8.27466780959718e-20,TRUE,TRUE
"GBP6",1.39080524033317,3.03633873921996e-18,1.34350795766622,1.11344747152085e-18,TRUE,TRUE
"LINC02555",1.22086547572149,6.68568888014752e-18,1.13889536449575,5.24341265546861e-16,TRUE,TRUE
"KLHDC7B-DT",0.922511631712559,6.7391872670718e-18,0.868422584447651,1.01635730978038e-17,FALSE,FALSE
"C1QA",1.2727896710204,6.77520069580139e-18,1.2812930668952,5.24640794618215e-20,TRUE,TRUE
"FCGR1A",1.32629993308844,8.86657387816679e-18,1.33973255684407,1.10339715575431e-17,TRUE,TRUE
"GBP1P1",1.09480795313395,1.32469560062482e-17,1.03904154827375,2.62855041718558e-16,TRUE,TRUE
"GBP5",0.997494537781206,2.40170336294752e-17,0.942875672588094,1.35759641068187e-15,FALSE,FALSE
"ATF3",1.13604409293096,2.40170336294752e-17,1.08353907084984,6.2944643867672e-16,TRUE,TRUE
"LHFPL2",0.712478462748209,2.63977666008489e-17,0.709708367903171,2.10939183806376e-17,FALSE,FALSE
"FCGR1CP",1.41420012183366,3.42670539030779e-17,1.45115892260047,5.84852763256137e-18,TRUE,TRUE
"APOL1",0.74162138008796,4.49046163518547e-17,0.731491306509108,1.22758064158815e-17,FALSE,FALSE
"TIMM10",0.728959248290739,7.38092255216685e-17,0.687927882981783,1.77296116932042e-15,FALSE,FALSE
"APOL6",0.67068205427486,1.03525512016406e-16,0.644928157731535,6.72433447989837e-16,FALSE,FALSE
"LINC02471",1.15827118184622,1.07726572372472e-16,1.14594274412643,1.1190815519156e-16,TRUE,TRUE
"VAMP5",0.806091200715977,1.15391242167362e-16,0.803255503828601,3.95684610760438e-18,FALSE,FALSE
"GBP1",0.977727765033741,2.13311863278001e-16,0.930604831403628,3.11605031246873e-15,FALSE,FALSE
"EGR1",1.75477287300958,9.50707075407019e-16,1.22910485781988,2.47751276832663e-10,TRUE,TRUE
"PDCD1LG2",1.22635882485642,1.81913152429268e-15,1.21538332729326,2.00605541782693e-15,TRUE,TRUE
"DUSP3",0.441178084122806,3.01099569279767e-15,0.448867195448172,1.35759641068187e-15,FALSE,FALSE
"ASPHD2",0.407101892754226,3.98971832616794e-15,0.41256859885278,2.38948148507835e-15,FALSE,FALSE
"IL27",0.875535713964685,3.98971832616794e-15,0.885171224931353,1.77296116932042e-15,FALSE,FALSE
"CFAP58-DT",0.935257800513322,7.37520929526811e-15,0.855804435809102,8.24083207035726e-13,FALSE,FALSE
"FBXO6",0.633436712082511,1.01573822964484e-14,0.635302877672233,6.96001427337896e-15,FALSE,FALSE
"SOCS1",0.669175894769828,1.12592398252472e-14,0.664120259920506,2.40490667982506e-14,FALSE,FALSE
"SMCO4",0.515856521770543,1.58328060783829e-14,0.494458883239452,1.47277190817466e-13,FALSE,FALSE
"AIM2",0.885209434301479,1.91950259655263e-14,0.833633397640425,5.16729956101214e-13,FALSE,FALSE
"CARD17P",1.19810246985616,2.16263585973532e-14,1.15842152389227,9.75199319689867e-14,TRUE,TRUE
"FCGR1BP",0.992894309537199,2.16332380182047e-14,1.01373690278066,5.62041986402042e-15,FALSE,TRUE
"EFCAB2",0.702099598140352,4.24619865586712e-14,0.676657974569293,3.01821492739054e-13,FALSE,FALSE
"CALHM6",0.925095908160151,4.57881274964073e-14,0.901694938188011,3.54599871870485e-14,FALSE,FALSE
"SCARB2",0.391501810139382,4.82844952691828e-14,0.387636952952994,1.41716021945341e-13,FALSE,FALSE
"FLVCR2",0.549712110588289,6.01537638173151e-14,0.567411250132699,1.35759641068187e-15,FALSE,FALSE
"UBE2L6",0.67070760154816,6.82619450497315e-14,0.66296137413698,1.01403898397183e-13,FALSE,FALSE
"PSTPIP2",0.602001934005461,7.97197711379898e-14,0.578393043776691,3.22779026373151e-13,FALSE,FALSE
"RTP4",0.791192442081994,1.0811954480029e-13,0.743604876727962,1.54254549843047e-12,FALSE,FALSE
"ETV7",1.27643637183308,1.49863354197652e-13,1.22161031005277,7.70429973133053e-13,TRUE,TRUE
"ODF3B",0.747794574792816,1.56471631743188e-13,0.757057773893526,6.72782067877815e-14,FALSE,FALSE
"NPC2",0.472894479777287,2.23150533645774e-13,0.458279238322877,1.29826606262138e-12,FALSE,FALSE
"SMTNL1",1.2115919964229,2.48471024739896e-13,1.29342299267849,4.25150185827619e-15,TRUE,TRUE
"PARP14",0.659521597485969,2.90737342800962e-13,0.662071538151205,2.79431854910037e-14,FALSE,FALSE
"VAMP3",0.31330937532206,3.26555285040526e-13,0.302146988617652,1.0290821283574e-12,FALSE,FALSE
"GBP2",0.561553535007483,3.7915821723931e-13,0.555595669586127,2.30828352366434e-14,FALSE,FALSE
"EXOC3L1",1.10792958204368,4.01427872382689e-13,1.09044728136159,1.02914531915445e-12,TRUE,TRUE
"DHRS9",0.702810162963151,4.17660049957219e-13,0.638144211415058,6.97423315392829e-12,FALSE,FALSE
"GRAMD1B",0.490833886406935,4.22461875080746e-13,0.482508974229726,8.42759189476142e-13,FALSE,FALSE
"CASP1",0.473774526095694,4.40230458393633e-13,0.429324655319051,1.1444206199769e-11,FALSE,FALSE
"TMEM150B",0.548437920351805,5.78343435583367e-13,0.571040928217349,9.70077516096465e-15,FALSE,FALSE
"SAT1",0.551067087447982,8.68228928728758e-13,0.521594361201249,1.26346684287505e-11,FALSE,FALSE
"CCRL2",0.484255140754735,1.35790181473171e-12,0.484632068749196,1.93798065644549e-12,FALSE,FALSE
"SLC49A3",0.491971331237462,1.47057691598795e-12,0.500516111617502,1.61064686457285e-13,FALSE,FALSE
"GRIN3A",0.500646781294522,1.47057691598795e-12,0.494188846185403,3.28169281451279e-12,FALSE,FALSE
"TCN2",0.771969007282672,1.55321140724693e-12,0.781006534844617,3.46981636998103e-13,FALSE,FALSE
"IFI35",0.748623221467654,1.60632529005057e-12,0.749756856183336,1.2845142486535e-12,FALSE,FALSE
"NRIR",1.15538090710292,1.88216406049128e-12,1.08452036211326,2.16656520846375e-11,TRUE,TRUE
"DYNLT1",0.499621064448155,2.4498343945123e-12,0.447486236409537,8.13247776195437e-11,FALSE,FALSE
"MSR1",0.942740927346176,2.55084236288492e-12,0.97057344208398,1.41716021945341e-13,FALSE,FALSE
"POLB",0.442270671277886,3.27909603058444e-12,0.347395469309546,2.81194834976788e-09,FALSE,FALSE
"IFI6",1.14058859865937,3.58316291126831e-12,1.12651409918914,4.09739886426074e-12,TRUE,TRUE
"BST2",0.574687362945459,6.0850135255048e-12,0.574081134697475,5.38400427637677e-12,FALSE,FALSE
"GBP4",0.599775496306392,6.58007260894477e-12,0.576263074833768,2.88277113352388e-11,FALSE,FALSE
"SMARCD3",0.455292372247567,8.31500260827203e-12,0.468440433566315,6.8785899045534e-13,FALSE,FALSE
"TIFA",0.552011976526162,8.58029660622312e-12,0.5103472083608,2.45168491266111e-10,FALSE,FALSE
"LYRM1",0.326212773812553,8.67253664745745e-12,0.292434686969955,2.10006456402304e-10,FALSE,FALSE
"ZFAT",0.444921319954566,1.01962004137405e-11,0.344550519617899,1.75729062073352e-07,FALSE,FALSE
"CLCN5",0.282662778186222,1.11800483077528e-11,0.28589537029503,6.44505543944472e-12,FALSE,FALSE
"SDC3",0.819801177419469,1.25437797501194e-11,0.821136914431953,7.44901243216854e-12,FALSE,FALSE
"TNFSF13B",0.685000696209786,1.33624279889948e-11,0.66022586171729,1.94123354130277e-11,FALSE,FALSE
"CYBB",0.39133262843854,1.88320990531448e-11,0.39693927440635,1.29299614361686e-11,FALSE,FALSE
"WARS1",0.594216667494408,3.3945370154528e-11,0.597835916733435,2.39254315820556e-11,FALSE,FALSE
"SCO2",0.688821426308873,3.55462448645931e-11,0.700678340262977,3.44441853412954e-12,FALSE,FALSE
"TRPV4",0.680397403079387,4.12485124846361e-11,0.71444671740902,6.8785899045534e-13,FALSE,FALSE
"MARCO",0.865136735576793,4.23067493114629e-11,0.862994310503327,3.52700318377472e-11,FALSE,FALSE
"PSME2",0.421996197018533,4.23067493114629e-11,0.382113811394219,7.55794061301194e-10,FALSE,FALSE
"STAT1",0.573507556335731,4.71008173994982e-11,0.572111641677742,1.29299614361686e-11,FALSE,FALSE
"TNFSF10",0.634136132103364,5.91938890207538e-11,0.603944344894978,3.11919294368973e-10,FALSE,FALSE
"S100A8",1.04063933676561,6.04647534601073e-11,0.716019091683862,7.06546623998753e-06,TRUE,FALSE
"TNFAIP6",1.0127076423818,6.13566104746761e-11,0.983915213054126,8.50560701077751e-11,TRUE,FALSE
"RUFY4",0.738779089459967,7.1594932616477e-11,0.748905289588713,4.70123661592446e-11,FALSE,FALSE
"CASP5",0.926873209804777,7.22777710098612e-11,0.926190721995089,1.05568807011645e-10,FALSE,FALSE
"SORT1",0.488443054280227,7.93106167248931e-11,0.512866859501539,8.04498631796029e-13,FALSE,FALSE
"KYNU",0.429380101063282,8.15337904799442e-11,0.407516138243787,9.91529800005401e-11,FALSE,FALSE
"EPSTI1",0.826541054015203,9.80608945983919e-11,0.813920808503729,1.53758684829775e-10,FALSE,FALSE
"MSRB2",0.512499771274941,9.80608945983919e-11,0.489043260816387,6.19964815444463e-10,FALSE,FALSE
"TAP1",0.430597282376464,9.80608945983919e-11,0.442522303558927,3.44441853412954e-12,FALSE,FALSE
"SAMD9L",0.62958664876095,9.80608945983919e-11,0.621422901884517,1.29447488906834e-10,FALSE,FALSE
"SECTM1",0.64867942156103,9.98567460781096e-11,0.6821109532633,1.55732048802108e-12,FALSE,FALSE
"LACTB",0.333519918672636,1.08162450908765e-10,0.32128209935369,1.43326437161523e-10,FALSE,FALSE
"SQOR",0.433332995866484,1.1018071417486e-10,0.429011909011069,4.98293730867387e-11,FALSE,FALSE
"MT2P1",0.898973398934094,1.25130420086728e-10,0.865018154744717,1.29837317384234e-10,FALSE,FALSE
"C3AR1",0.538690663747385,1.35516045705073e-10,0.525059349147695,1.44387550455769e-10,FALSE,FALSE
"CARD16",0.728704430932801,1.46615305632652e-10,0.546417366523494,1.23782871087121e-06,FALSE,FALSE
"IFITM3",1.01497903220275,1.49932290845032e-10,1.02207726014719,5.18288539545067e-11,TRUE,TRUE
"APOL2",0.487167381611404,1.49932290845032e-10,0.46728282272481,7.53210316375112e-11,FALSE,FALSE
"IFITM1",0.590365483505311,1.5230404008542e-10,0.596151070991728,5.35372614152274e-11,FALSE,FALSE
"GAS6",0.43824608846507,1.6421388000881e-10,0.442229923058067,1.94123354130277e-11,FALSE,FALSE
"NRN1",0.978499732919844,1.6421388000881e-10,0.964099550491193,1.49233156062204e-10,FALSE,FALSE
"FRMD3",0.653173620477839,1.74696634419199e-10,0.618536027724536,1.61468809063126e-09,FALSE,FALSE
"PLSCR1",0.727536551090618,1.92512751133608e-10,0.727900520044309,2.58442276991152e-11,FALSE,FALSE
"TYMP",0.60609785419201,2.21763112259646e-10,0.627126758650593,3.45546535469283e-11,FALSE,FALSE
"HBG2",2.30710068764624,2.61375071329334e-10,1.19681570771188,0.00101009360620358,TRUE,TRUE
"TRIM69",0.323052240684277,2.78464661327211e-10,0.305414022386996,1.66946956555811e-09,FALSE,FALSE
"IRF7",0.660625231685672,2.90566488184427e-10,0.66697459649486,8.04372530473058e-11,FALSE,FALSE
"MT2A",0.826713217149934,3.10555136573417e-10,0.830976663139497,4.02532818442415e-11,FALSE,FALSE
"IFITM3P4",0.972755526459647,3.30708297288813e-10,0.970919363797839,1.57057690897739e-10,FALSE,FALSE
"ERP44",0.226193779759685,3.47258400516828e-10,0.216087917104242,3.48758358149607e-10,FALSE,FALSE
"TRIM22",0.540460849939396,4.11270872283677e-10,0.528959195481339,1.08067566723381e-09,FALSE,FALSE
"GK",0.627570612274142,4.2126333694906e-10,0.587231269490163,1.66946956555811e-09,FALSE,FALSE
"DRAM1",0.372948058595252,4.32031845962896e-10,0.370282459945428,8.10291943467176e-10,FALSE,FALSE
"STAT2",0.485101089603532,4.83651168232822e-10,0.490267900108172,1.44387550455769e-10,FALSE,FALSE
"LILRB4",0.469527227783489,5.73234174856385e-10,0.486109540852179,6.99118969566751e-11,FALSE,FALSE
"BISPR",0.394256601946209,6.18722426935448e-10,0.377321820671522,3.09960705191128e-09,FALSE,FALSE
"VCAN",0.467927737068521,6.49175112933867e-10,0.498937509667655,5.38989203994941e-12,FALSE,FALSE
"SCARF1",0.653099363571395,7.33451266743117e-10,0.663868677517625,1.42262292102372e-10,FALSE,FALSE
"TAP2",0.354688000169529,9.36479821413469e-10,0.348150686922608,2.19792794145072e-10,FALSE,FALSE
"SIGLEC1",1.28279896242914,1.00271852613123e-09,1.17336662640406,4.26156288197856e-08,TRUE,TRUE
"GADD45B",0.351430309325649,1.0463017560007e-09,0.336843612065653,2.52146873122192e-09,FALSE,FALSE
"STAC3",0.448275930068613,1.04935353354576e-09,0.44059365133527,2.16357878089357e-09,FALSE,FALSE
"FCER1G",0.56563436364442,1.06237405628561e-09,0.562254917454171,1.88283000424328e-09,FALSE,FALSE
"CD36",0.444573426458886,1.11266137920653e-09,0.435528611691278,4.08565738580874e-09,FALSE,FALSE
"IFI27",2.17410604088265,1.18889619293179e-09,1.4279865335917,0.000146711397437816,TRUE,TRUE
"FFAR3",1.00167378853016,1.2498565776661e-09,1.03071987597369,6.96149161155e-11,TRUE,TRUE
"PSME2P1",0.450386668814623,1.44718735352321e-09,0.42372843588472,2.61252091887235e-09,FALSE,FALSE
"PARP9",0.53954772036505,1.60905981037074e-09,0.546689893195373,1.55994256789768e-10,FALSE,FALSE
"HEBP1",0.300814667790026,1.73298032193719e-09,0.305289962080707,1.50911160490852e-09,FALSE,FALSE
"GYG1",0.366044048904652,1.73298032193719e-09,0.36566830735327,1.02224504164215e-09,FALSE,FALSE
"SIGLEC16",0.490649957094131,1.75909514338734e-09,0.504572016023407,2.18764455259947e-10,FALSE,FALSE
"MS4A6A",0.400846777533378,1.81810550246138e-09,0.379272539857427,9.23866269520554e-09,FALSE,FALSE
"VPS9D1",0.448324444873356,1.85554225874693e-09,0.459602662347535,3.45924245089692e-10,FALSE,FALSE
"TRAFD1",0.431153170096996,2.05988551910395e-09,0.425294653384986,2.56497959394688e-10,FALSE,FALSE
"LINC02033",0.376044710162785,2.09469265568703e-09,0.359367254337474,2.68387076595856e-09,FALSE,FALSE
"MR1",0.203813961042873,2.09469265568703e-09,0.207310260151659,6.2408161508115e-10,FALSE,FALSE
"ATG3",0.33632178278847,2.09469265568703e-09,0.293271725101491,8.24791243941473e-08,FALSE,FALSE
"S100A9",0.656768145920964,2.20076810859142e-09,0.615929202929349,2.96677858435968e-08,FALSE,FALSE
"FAM225A",0.921165211786199,2.43240771522915e-09,0.910313046496595,3.01571973388399e-09,FALSE,FALSE
"NMI",0.427801642881349,2.51208817544339e-09,0.387136343225783,1.82617131205692e-08,FALSE,FALSE
"LAPTM4A",0.244595889129991,2.52824230486847e-09,0.22066007448514,3.03445408530486e-08,FALSE,FALSE
"CD177",1.62625984836186,2.72751924849668e-09,1.58020499258243,1.93828795758549e-08,TRUE,TRUE
"CD86",0.301996240436633,3.27899709362389e-09,0.291125754086563,7.32610359621324e-09,FALSE,FALSE
"MS4A4A",0.672441208145713,3.27899709362389e-09,0.615970321031808,1.95194823240879e-08,FALSE,FALSE
"ITGA7",0.574291716591711,3.44619901798452e-09,0.556358125678504,2.95979522119678e-09,FALSE,FALSE
"CD300E",0.419572893605804,3.58869972711733e-09,0.430760463369837,7.55794061301194e-10,FALSE,FALSE
