"gene","logFC","logCPM","F","PValue","FDR","sig"
"SCP2",0.0356179925494832,5.67976371468551,1.17123762555836,0.279753773944074,0.42886969400989,FALSE
"P3H1",-0.0267148135677324,5.21244881625034,1.17122048814939,0.279757287400399,0.42886969400989,FALSE
"ADGRA3",-0.104034347675743,0.366968619896622,1.17052222289006,0.279902159625779,0.429047941014195,FALSE
"PRPF39",-0.0799710863049294,3.99599652818488,1.16983186342454,0.280042152967127,0.429210088666532,FALSE
"RAD51B",0.0406540543578702,1.51302970966399,1.16972121402779,0.2800651618422,0.429210088666532,FALSE
"JARID2",-0.0597017287278494,6.01126253604539,1.16905226334138,0.280202232483929,0.429376291289469,FALSE
"GDPD1",-0.0577882678660799,0.720303371418784,1.16889177732131,0.280236174594235,0.429384444005996,FALSE
"EFNA3",-0.056170015722498,1.11379903169618,1.16802846218766,0.280413185505662,0.429611786045337,FALSE
"XPO4",-0.0479587404716375,4.35748726756989,1.1675678372561,0.280507373685001,0.429712204638251,FALSE
"NAP1L1P3",-0.0438877724850497,2.19106208770611,1.16734704763106,0.280552910800531,0.429738081256848,FALSE
"CENPN",0.0528992018806771,0.792506071099202,1.1663248039535,0.280764083151116,0.430017639145793,FALSE
"KAT8",0.0385461271473465,6.54361961494733,1.16551058197727,0.280930954970706,0.430229296291398,FALSE
"GSPT1",0.0866917688649179,7.49768472933094,1.16517436271897,0.281000258697028,0.430291505662225,FALSE
"COL7A1",0.0781242118055518,0.999723639907514,1.16459847546192,0.281119659547778,0.430430407484768,FALSE
"MRPL46",-0.0401659984764039,2.35679065977919,1.16378278427324,0.281287426285632,0.430643327802536,FALSE
"TMEM184C",0.0303885493343582,4.44388589454897,1.1635742638614,0.281330381092527,0.43066514052552,FALSE
"KCNB1",0.091519033187868,0.431590177458682,1.16259005505445,0.281535208050659,0.430934720046524,FALSE
"DNAH6",-0.0921515817583256,0.143704448378682,1.16232539150489,0.281590742445771,0.430975751700822,FALSE
"ANKMY2",-0.0420705436538149,3.37623569382436,1.16130161880071,0.281800128879022,0.43123069230119,FALSE
"IGHV1-18",0.131838051464901,4.18680651814922,1.16123056025337,0.2818148051807,0.43123069230119,FALSE
"THOC2",-0.0462211832127861,4.9189396696856,1.15990497940939,0.28208925496493,0.431606629575103,FALSE
"IFT122",-0.0391959697327781,3.76066654665784,1.15847356516528,0.282386012106239,0.432016617746054,FALSE
"IDNK",0.0410407685004546,2.75971668098966,1.15695618409816,0.282701059916314,0.432454501974563,FALSE
"ADCY9",-0.0486342876563916,3.96104219533427,1.15627968528282,0.282841588627225,0.432603182399631,FALSE
"YBX1P10",0.0514261312223354,5.71875686682459,1.15621067690618,0.282855926953605,0.432603182399631,FALSE
"GNA12",0.0709989231955488,6.22161476936088,1.1559431992336,0.282911538585506,0.432614561557257,FALSE
"GID8",0.0280255698995912,6.29400004629319,1.15589749973498,0.282921041423693,0.432614561557257,FALSE
"BBS10",-0.0886683221098158,2.91005071515804,1.15498509254326,0.283110906623998,0.432860764489729,FALSE
"ZNF529-AS1",-0.0380972420774368,1.12163550425405,1.15432948903924,0.283247875705403,0.432946400818332,FALSE
"MIGA2",-0.0344882241359119,6.12876671922444,1.1543203564672,0.283249244193346,0.432946400818332,FALSE
"HGH1",-0.045627724674555,5.0629525094856,1.1542999494983,0.283253494469533,0.432946400818332,FALSE
"MSTO1",-0.0330006114454358,3.4695756484034,1.15391251900955,0.283334218996481,0.43302566762278,FALSE
"FAM13B",-0.0506145449967341,5.1294497455634,1.1529631851115,0.283532058109632,0.433269257975406,FALSE
"DOCK8",0.0613871692208246,8.19161822025693,1.15287059600031,0.283551364804862,0.433269257975406,FALSE
"CSF1",0.0765920564930554,4.8804932625326,1.1517961916278,0.28377552872168,0.433567622149164,FALSE
"MAGI2-AS3",-0.137094013843985,-0.358328182797815,1.15144813517267,0.283853343877614,0.43364234876293,FALSE
"EPB41L4A-AS1",-0.0590052514425694,3.57342973297351,1.15114766573689,0.28391096404099,0.433667930152874,FALSE
"SLC35A3",-0.0761026890318095,3.12465518208015,1.15106669056877,0.283927903610287,0.433667930152874,FALSE
"NHEJ1",-0.0502401575580564,-0.0374665221949413,1.15070166579554,0.284007261814424,0.433744980325765,FALSE
"COX20P1",-0.0712467303184062,0.303411068071253,1.14873583338703,0.284417110275018,0.434326698732271,FALSE
"AUH",-0.034755530359968,2.51850012680942,1.14785975193191,0.284598825567621,0.434559957370529,FALSE
"AJAP1",0.128547201122529,0.0859021924028424,1.14763416815833,0.284648568040577,0.434591676953463,FALSE
"NOL11",-0.0351278642675284,4.57766887412458,1.14676263120867,0.284828729392404,0.434822488892321,FALSE
"BAIAP2L2",-0.0678058375835296,0.957834956203573,1.14643085659806,0.284899003674541,0.434885516191032,FALSE
"LARP1B",-0.0529171032498962,2.23988059671187,1.14620281596401,0.284946278176429,0.434913426106703,FALSE
"LYPLAL1",0.052358215251663,3.11431670331166,1.14596426377537,0.284996276124375,0.434945486715959,FALSE
"GARIN1A",0.0740525005885647,1.53479890809943,1.1455665524049,0.285080010952147,0.435029022917721,FALSE
"SRP72P2",-0.0588942694245432,0.228856439363414,1.14518244635961,0.285162444015951,0.435071108396792,FALSE
"ZNF618",0.0539797103653349,1.4576805106783,1.14515918479131,0.285165591845464,0.435071108396792,FALSE
"LINC00106",0.0905274375140572,0.123743940740493,1.14496576316531,0.285208305778318,0.435091418157853,FALSE
"SIGLEC10",0.0739811655116689,7.52555641231492,1.14480779709164,0.285239087669767,0.435091418157853,FALSE
"ARHGAP31",0.0534634157623839,3.93274627001459,1.14468018249816,0.285265910478645,0.435091418157853,FALSE
"TRAV41",-0.0759571877954406,1.65359607920493,1.14438024059555,0.28532918640542,0.435143687552517,FALSE
"TLR9",0.07235745695863,0.94497473629159,1.14397397412794,0.285415045579854,0.435230383593105,FALSE
"RPS3AP21",0.171831311085689,3.36286154072172,1.14266657233155,0.285689468892373,0.435604574888036,FALSE
"TRAPPC4",0.0410181912606539,5.38022066691153,1.14152104050131,0.285930741755768,0.435928149168703,FALSE
"ARL5B",0.0836644576515366,3.55583337687955,1.14126493877109,0.285984744024464,0.435966175170716,FALSE
"PIGH",-0.0339118632610926,3.45925125799265,1.14074729378765,0.286093902222521,0.436088266728537,FALSE
"FAM83F",0.111043025339922,0.342542170342552,1.13992458753345,0.286269215010077,0.43627681892281,FALSE
"APC",0.068569654538845,4.46536857641549,1.13988527529344,0.286275763596597,0.43627681892281,FALSE
"IQSEC3",-0.195436763503031,0.632738164073482,1.13974578038388,0.286306332196536,0.436279085384706,FALSE
"CENPH",-0.0511766189472152,1.64678098767795,1.13874071928949,0.286517735634024,0.436556882996307,FALSE
"GYPE",0.116848993826601,-0.201581009206529,1.13818184211404,0.286639630955952,0.436698257702974,FALSE
"BAG4",0.0544627091229385,3.38755375755522,1.13736488561805,0.286808436503217,0.436911064624417,FALSE
"ADO",-0.0369696846500203,4.41397425774815,1.13676194911146,0.286936017843415,0.437061035606348,FALSE
"PTPN9",-0.0304419633983596,4.84408231223682,1.1362506699835,0.287044282311935,0.437181555659253,FALSE
"TNFRSF10B",0.0350362443751512,6.14054696337224,1.135375651763,0.2872296920317,0.437419535058325,FALSE
"PIK3R4",-0.0369054250785994,4.49312806542147,1.13460497514837,0.287393121972204,0.43762399673437,FALSE
"HADHAP1",0.0390811920039156,1.50430881394762,1.13429616700561,0.287458939543148,0.43767979407554,FALSE
"PPP4R3A",-0.0335775335702247,6.40586838975997,1.13411079740841,0.287497976197171,0.437694808089097,FALSE
"AZIN2",-0.046740823549343,2.40853552950224,1.13394408849238,0.287533448492907,0.437704393129436,FALSE
"XPR1",0.034445503876583,4.1586739410329,1.13344206716686,0.287639952077258,0.437822094263699,FALSE
"TELO2",-0.0403302938732784,5.71752629681026,1.1306714051749,0.288229111543445,0.438674356434489,FALSE
"SRSF7",-0.0456288019620732,6.50653552008083,1.13013942059769,0.288342410618516,0.4388022767396,FALSE
"PSMC5",0.039148373438559,6.72431484851814,1.12955889489446,0.288466112672364,0.438946000842966,FALSE
"TBC1D13",-0.0312437672493019,5.82065968748204,1.12887758667678,0.28861137661243,0.439122502225119,FALSE
"MROH1",-0.0416312615803138,5.7449423220285,1.12856842146961,0.288677325471659,0.439178302071376,FALSE
"SBSPON",-0.0662081094281236,0.318211596793945,1.12804532764936,0.288790727430686,0.439288206475003,FALSE
"WBP11P1",-0.0522540723740923,0.702179843257582,1.12796010850017,0.288808130946737,0.439288206475003,FALSE
"VIL1",0.126992967329902,1.07869945054497,1.12763342648853,0.288877457291357,0.439341965751598,FALSE
"NCKIPSD",-0.0420645541347885,4.30841630720092,1.12751563393612,0.288902045869851,0.439341965751598,FALSE
"EIF4E",0.0541540988789622,2.8176319279454,1.12732834757821,0.288942098301717,0.439358337596022,FALSE
"SLC25A10",-0.0629511768301512,0.571137310543211,1.12696432397129,0.289021023169398,0.439433808613287,FALSE
"ANTKMT",0.0595728798883416,4.20598190084193,1.12669453239287,0.289077465649888,0.439475085091165,FALSE
"PAIP1",0.0548079599733487,2.37408758973817,1.12556781664395,0.289318483052277,0.439796928032248,FALSE
"CAMK2D",0.049221541956791,4.69806826171739,1.1238008507705,0.289696748797442,0.440325484771279,FALSE
"ASF1A",-0.0505121608237529,4.12299460943982,1.12366954489366,0.28972489402595,0.440325484771279,FALSE
"RNF2",0.0493517157199464,3.84291321581717,1.12295875659593,0.289877294726218,0.440512477257165,FALSE
"TMTC3",-0.0911388986347852,1.90353828549462,1.12107619077433,0.290281580789278,0.441082171072698,FALSE
"CCDC183-AS1",-0.0582766771122829,0.577852329127058,1.12094350474281,0.290311110605036,0.441082365940526,FALSE
"FHL1",-0.0567890294347154,3.81886737108445,1.11979440952803,0.290556989440869,0.441411236009308,FALSE
"USP50",0.0759320834261733,-0.320458071150348,1.1190863911983,0.290714018779874,0.441605073889801,FALSE
"CKAP2",-0.0475998364433092,3.63487536197833,1.11811172903456,0.290919261340933,0.441811764910033,FALSE
"CASP1P2",-0.0966826579404469,-0.166075937404458,1.11811118939727,0.29092311371652,0.441811764910033,FALSE
"GSDMB",-0.0548626836208698,5.68313449745483,1.11802266137295,0.290938436578204,0.441811764910033,FALSE
"ZNF189",-0.0380744911114115,3.47488677805778,1.11658456239044,0.2912485546336,0.442237936904177,FALSE
"TMEM68",-0.0632762169271118,2.39499901725068,1.11539295865953,0.291505881505209,0.442583871505025,FALSE
"SOS1",0.0478936127470599,5.27026318346293,1.11467361583103,0.29166123670615,0.442774931498246,FALSE
"IGHV3-72",0.138423473219685,2.46265988946006,1.11441778975173,0.291716624983515,0.442814207022431,FALSE
"RCN3",0.0886957206577885,5.09006476557415,1.11391633209975,0.291824994209403,0.442917667500565,FALSE
"ZNF460-AS1",-0.0536587664737046,0.587063238937537,1.11383467779311,0.291843830372156,0.442917667500565,FALSE
"U2AF2",-0.0289930165470417,7.82507368945738,1.11267744542615,0.292093148222884,0.443238254885933,FALSE
