"gene","logFC_79362","logCPM_79362","F_79362","PValue_79362","FDR_79362","sig_79362","logFC_94438","logCPM_94438","F_94438","PValue_94438","FDR_94438","sig_94438","sig_status"
"GBP6",1.81877266661751,1.17354876044497,156.247105058792,4.66309573316216e-30,7.71975498624995e-26,TRUE,1.39080524033317,0.302533688619541,100.245417741796,2.42874715842151e-21,3.03633873921996e-18,TRUE,"Both"
"FCGR1CP",1.84949336137253,2.29128810537475,152.464695065143,2.04505012017759e-29,1.692790236977e-25,TRUE,1.41420012183366,2.10797556947924,92.9632898197982,4.79674798003357e-20,3.42670539030779e-17,TRUE,"Both"
"GBP5",1.18890686789667,9.09803865459627,133.173212238967,2.12547433535581e-26,1.17290758739385e-22,TRUE,0.997494537781206,8.49761475415089,94.0619850496244,3.03654560475027e-20,2.40170336294752e-17,FALSE,"GSE79362 only"
"ANKRD22",1.81177561753519,3.89009731977138,129.164131864637,9.36172068876207e-26,3.09966572004912e-22,TRUE,1.82042957098079,3.26578190752474,137.949640897109,8.11878242907906e-28,6.08989870005221e-24,TRUE,"Both"
"PDCD1LG2",1.54106420549046,1.27559189959456,115.875650967422,1.27444169478522e-23,3.51639704286156e-20,TRUE,1.22635882485642,1.16507502995746,82.7382962496908,3.51651874446659e-18,1.81913152429268e-15,TRUE,"Both"
"CD274",1.28390183847581,5.17385908024353,111.555603992122,7.12246127290221e-23,1.68446209104137e-19,TRUE,1.20371721048075,4.53875520944251,102.852673506805,8.19956968422017e-22,1.23009944402671e-18,TRUE,"Both"
"GBP1",1.07606880780374,7.73034362296458,109.477456580908,1.58530742913012e-22,2.66728611654503e-19,TRUE,0.977727765033741,7.18550738307215,87.9786543615613,3.83910165878285e-19,2.13311863278001e-16,FALSE,"GSE79362 only"
"SCARF1",0.899657634390327,6.11708328325233,109.435764683596,1.61116648537905e-22,2.66728611654503e-19,FALSE,0.653099363571395,5.90807603154116,50.0716167516731,6.06238881990045e-12,7.33451266743117e-10,FALSE,"Neither"
"FCGR1A",1.3570102806789,4.70474285884253,107.236033847018,3.77831235981365e-22,5.68636010151954e-19,TRUE,1.32629993308844,4.89738874462485,96.8845702672635,9.45641794765155e-21,8.86657387816679e-18,TRUE,"Both"
"LINC02555",1.13391724814683,2.33828104678655,106.590968260909,4.87854496244316e-22,6.73035932110388e-19,TRUE,1.22086547572149,1.82846741190334,98.0793933431003,5.79349123063043e-21,6.68568888014752e-18,TRUE,"Both"
"DUSP3",0.560528142970029,5.82672049514045,103.633150593737,1.53669357854581e-21,1.95357113608132e-18,FALSE,0.441178084122806,5.7058274246454,81.4634061964514,6.02118856045395e-18,3.01099569279767e-15,FALSE,"Neither"
"LHFPL2",0.780899036886489,4.48233553434491,103.45010710807,1.65206861402226e-21,1.95357113608132e-18,FALSE,0.712478462748209,4.08728708645275,93.7063022899654,3.5192329823822e-20,2.63977666008489e-17,FALSE,"Neither"
"GBP1P1",1.3065608844806,2.68168914691231,102.814090731843,2.13274063277701e-21,2.35383474504156e-18,TRUE,1.09480795313395,2.34529056503649,95.7666651254649,1.50112153117064e-20,1.32469560062482e-17,TRUE,"Both"
"BATF2",1.55333593853075,4.69937571652031,101.469704821891,3.59265968817793e-21,3.71728007111161e-18,TRUE,1.55805766544991,4.9688497503011,116.931454175145,2.86533938140224e-24,1.07464553499491e-20,TRUE,"Both"
"GBP2",0.607652462695419,9.0176511769537,99.0566171760846,9.29217547319684e-21,9.04893911522198e-18,FALSE,0.561553535007483,8.86282601582895,68.925977279976,1.33951376574346e-15,3.7915821723931e-13,FALSE,"Neither"
"SORT1",0.606995411394912,5.96652952354609,96.4436903039756,2.61860026363131e-20,2.40838485357868e-17,FALSE,0.488443054280227,5.79188548397773,55.660663524018,4.81086929873702e-13,7.93106167248931e-11,FALSE,"Neither"
"SECTM1",0.787204908992578,8.57479291844982,93.3504285339559,8.9985426651181e-20,7.84057230637001e-17,FALSE,0.64867942156103,9.1699804225402,55.0078444073184,6.45654204077898e-13,9.98567460781096e-11,FALSE,"Neither"
"TAP1",0.532656240038975,9.0514738336734,92.7024060764731,1.16675343267619e-19,9.19790622759726e-17,FALSE,0.430597282376464,8.9341603505014,55.0786255283124,6.25369117913312e-13,9.80608945983919e-11,FALSE,"Neither"
"APOL4",1.5823392095166,1.44907512435701,91.9418831673243,1.52995517258743e-19,1.14933452327594e-16,TRUE,1.50908025912955,1.17949930483586,108.867913612466,7.22784689279748e-23,1.35540198857185e-19,TRUE,"Both"
