"gene","logFC_baseline","FDR_baseline","logFC_adjusted","FDR_adjusted","sig_baseline","sig_adjusted","change"
"SEPTIN4",1.6253638380819,1.88403342157499e-25,1.58799303125297,9.23027858750495e-25,TRUE,TRUE,"Stable significant"
"ANKRD22",1.82042957098079,6.08989870005221e-24,1.7585651327836,2.26527218457866e-22,TRUE,TRUE,"Stable significant"
"C1QC",1.72117778661297,6.96827143620731e-21,1.70721697027868,6.03234073030551e-22,TRUE,TRUE,"Stable significant"
"BATF2",1.55805766544991,1.07464553499491e-20,1.56887879656337,3.22233090021428e-21,TRUE,TRUE,"Stable significant"
"LAP3",0.948316347916503,2.91906407690668e-20,0.920425060008035,1.3970765952469e-19,FALSE,FALSE,"Not significant"
"SERPING1",1.65795443280729,9.31864007815606e-20,1.65360900416591,3.28752681941195e-20,TRUE,TRUE,"Stable significant"
"C1QB",1.55421571398592,1.09273961913417e-19,1.56034060245224,2.29096589003276e-21,TRUE,TRUE,"Stable significant"
"APOL4",1.50908025912955,1.35540198857185e-19,1.49631090629951,7.97373703808683e-20,TRUE,TRUE,"Stable significant"
"C2",1.17682887755893,2.8315317942704e-19,1.18819244862438,7.97373703808683e-20,TRUE,TRUE,"Stable significant"
"CD274",1.20371721048075,1.23009944402671e-18,1.17700773434182,3.95684610760438e-18,TRUE,TRUE,"Stable significant"
"FAM20A",1.2318910194294,2.05240396279053e-18,1.24132265485018,8.27466780959718e-20,TRUE,TRUE,"Stable significant"
"GBP6",1.39080524033317,3.03633873921996e-18,1.34350795766622,1.11344747152085e-18,TRUE,TRUE,"Stable significant"
"LINC02555",1.22086547572149,6.68568888014752e-18,1.13889536449575,5.24341265546861e-16,TRUE,TRUE,"Stable significant"
"KLHDC7B-DT",0.922511631712559,6.7391872670718e-18,0.868422584447651,1.01635730978038e-17,FALSE,FALSE,"Not significant"
"C1QA",1.2727896710204,6.77520069580139e-18,1.2812930668952,5.24640794618215e-20,TRUE,TRUE,"Stable significant"
"FCGR1A",1.32629993308844,8.86657387816679e-18,1.33973255684407,1.10339715575431e-17,TRUE,TRUE,"Stable significant"
"GBP1P1",1.09480795313395,1.32469560062482e-17,1.03904154827375,2.62855041718558e-16,TRUE,TRUE,"Stable significant"
"GBP5",0.997494537781206,2.40170336294752e-17,0.942875672588094,1.35759641068187e-15,FALSE,FALSE,"Not significant"
"ATF3",1.13604409293096,2.40170336294752e-17,1.08353907084984,6.2944643867672e-16,TRUE,TRUE,"Stable significant"
"LHFPL2",0.712478462748209,2.63977666008489e-17,0.709708367903171,2.10939183806376e-17,FALSE,FALSE,"Not significant"
"FCGR1CP",1.41420012183366,3.42670539030779e-17,1.45115892260047,5.84852763256137e-18,TRUE,TRUE,"Stable significant"
"APOL1",0.74162138008796,4.49046163518547e-17,0.731491306509108,1.22758064158815e-17,FALSE,FALSE,"Not significant"
"TIMM10",0.728959248290739,7.38092255216685e-17,0.687927882981783,1.77296116932042e-15,FALSE,FALSE,"Not significant"
"APOL6",0.67068205427486,1.03525512016406e-16,0.644928157731535,6.72433447989837e-16,FALSE,FALSE,"Not significant"
"LINC02471",1.15827118184622,1.07726572372472e-16,1.14594274412643,1.1190815519156e-16,TRUE,TRUE,"Stable significant"
"VAMP5",0.806091200715977,1.15391242167362e-16,0.803255503828601,3.95684610760438e-18,FALSE,FALSE,"Not significant"
"GBP1",0.977727765033741,2.13311863278001e-16,0.930604831403628,3.11605031246873e-15,FALSE,FALSE,"Not significant"
"EGR1",1.75477287300958,9.50707075407019e-16,1.22910485781988,2.47751276832663e-10,TRUE,TRUE,"Stable significant"
"PDCD1LG2",1.22635882485642,1.81913152429268e-15,1.21538332729326,2.00605541782693e-15,TRUE,TRUE,"Stable significant"
