"gene","logFC_baseline","FDR_baseline","logFC_adjusted","FDR_adjusted","sig_baseline","sig_adjusted","change"
"TRPS1",0.168425437225149,8.30169263836038e-06,0.151733500500973,0.0113384941812806,FALSE,FALSE,"Not significant"
"SPART",0.183576271613194,8.32720663022887e-06,0.14660077553982,0.0136913792210788,FALSE,FALSE,"Not significant"
"ZAP70",-0.215125119671164,8.48251918088689e-06,-0.235612642490288,0.00107338598281447,FALSE,FALSE,"Not significant"
"TLR8",0.315346479289944,8.51579737911214e-06,0.287246615798252,0.00947153219982399,FALSE,FALSE,"Not significant"
"STXBP5-AS1",0.256939603530475,8.52905081766841e-06,0.161715078989744,0.0932738212147491,FALSE,FALSE,"Not significant"
"USP38",0.133619973345439,8.53385082578718e-06,0.117486644618118,0.00938628210933831,FALSE,FALSE,"Not significant"
"AHSA2P",-0.132883880934125,8.6654543850054e-06,-0.149234898156313,0.00072000417865734,FALSE,FALSE,"Not significant"
"ZNF528",-0.263415180624059,8.77349252862632e-06,-0.306438104049354,0.000723182427583227,FALSE,FALSE,"Not significant"
"TLR7",0.276784382752765,8.91261965370932e-06,0.234689368238292,0.0102690224963407,FALSE,FALSE,"Not significant"
"ZDHHC5",0.120683795647582,8.91261965370932e-06,0.126628162582048,0.00390533343624078,FALSE,FALSE,"Not significant"
"CXCL10",0.916520062760404,9.05835950405164e-06,0.611311047038566,0.0140481259937193,FALSE,FALSE,"Not significant"
"MT-RNR1",0.342358592733911,9.11568910004941e-06,0.210574130096252,0.0789315572179427,FALSE,FALSE,"Not significant"
"CLK2",-0.0972153341222082,9.15200935422826e-06,-0.0862328736531762,0.0119288774302572,FALSE,FALSE,"Not significant"
"ERCC3",-0.0880485724399639,9.49405594422054e-06,-0.0701805146597525,0.0164371641226561,FALSE,FALSE,"Not significant"
"PLXNA3",-0.225017907124428,9.49918077684629e-06,-0.214148683450561,0.00625888091246502,FALSE,FALSE,"Not significant"
"TRAF6",0.0913161634374575,9.58691919149861e-06,0.0852627468631022,0.00960423959710852,FALSE,FALSE,"Not significant"
"CARMIL2",-0.223961495219101,9.59172727651324e-06,-0.203409333012623,0.00824943268517466,FALSE,FALSE,"Not significant"
"VTI1B",0.111771350713986,9.65065467789667e-06,0.0702302546534297,0.0580671467705611,FALSE,FALSE,"Not significant"
"HP",0.760447524345371,9.65820030030827e-06,0.516437959602329,0.0587377222060182,FALSE,FALSE,"Not significant"
"MARK3",0.132549898958413,9.65820030030827e-06,0.111102488355393,0.0156989150733065,FALSE,FALSE,"Not significant"
"IL17RA",0.272516256245803,9.65820030030827e-06,0.266502288033982,0.00466374350953494,FALSE,FALSE,"Not significant"
"SIPA1L1",0.265889212470085,9.72724545132322e-06,0.276529375202793,0.00341784218405286,FALSE,FALSE,"Not significant"
"EPS8L2",-0.242831259713266,9.72753176300245e-06,-0.211924651808758,0.00960604074488563,FALSE,FALSE,"Not significant"
"CREB5",0.42349865122356,9.83573621595359e-06,0.306777812708363,0.0371169591816636,FALSE,FALSE,"Not significant"
"CTIF",0.244038137937505,9.8503687092788e-06,0.199271421150021,0.0208304140860719,FALSE,FALSE,"Not significant"
"USP3",0.130337309018771,9.86394445046455e-06,0.118468676477071,0.00753742091267295,FALSE,FALSE,"Not significant"
"RETREG2",0.159029747113686,9.97460275983687e-06,0.121139541293814,0.0301760771460603,FALSE,FALSE,"Not significant"
"SPPL2A",0.156969720787779,1.00478012443182e-05,0.126071585967039,0.0182935540301368,FALSE,FALSE,"Not significant"
"PLAUR",0.331162854421196,1.01143508454753e-05,0.325328077690847,0.00538197502765212,FALSE,FALSE,"Not significant"
"RHOU",0.233925633463661,1.01143508454753e-05,0.208571087693722,0.00496790786357765,FALSE,FALSE,"Not significant"
"CCDC14",-0.205748828704114,1.02366358639647e-05,-0.222928134190069,0.0025727405962762,FALSE,FALSE,"Not significant"
"C5orf15",0.16251001760895,1.02406264923003e-05,0.120913905369065,0.0271612512616306,FALSE,FALSE,"Not significant"
"TRBJ2-7",-0.293582127633732,1.03355327909894e-05,-0.305493554047915,0.0103406387565537,FALSE,FALSE,"Not significant"
"KCNQ1",0.216775425082,1.03355327909894e-05,0.207157914307441,0.0074853948839276,FALSE,FALSE,"Not significant"
"AL031777.1",0.45657742955886,1.03714883490183e-05,0.423347074776303,0.00694762839904479,FALSE,FALSE,"Not significant"
"HIP1R",-0.218845406109309,1.03714883490183e-05,-0.202807145553859,0.00618031422555161,FALSE,FALSE,"Not significant"
"ALOX15P1",-0.254244460131291,1.04283795340192e-05,-0.26763108680411,0.00345515177655659,FALSE,FALSE,"Not significant"
"ITPRIP",0.264186340478515,1.05792036601299e-05,0.258498905698819,0.00506728071785208,FALSE,FALSE,"Not significant"
"UBE2D3P1",0.184061990262518,1.06391263347466e-05,0.143797976845244,0.0224204638578764,FALSE,FALSE,"Not significant"
"LINC01089",-0.187439988460017,1.07129326953771e-05,-0.171824523819863,0.0063021637116035,FALSE,FALSE,"Not significant"
"COL11A2",-0.321221717284575,1.07275910660261e-05,-0.326710158822462,0.00373731829791916,FALSE,FALSE,"Not significant"
