"study_79362","pathway","NES_79362","pvalue_79362","p.adjust_79362","leading_edge_genes_79362","study_94438","NES_94438","pvalue_94438","p.adjust_94438","leading_edge_genes_94438"
"GSE79362","HALLMARK_XENOBIOTIC_METABOLISM",1.822317990657,7.6352801302084e-06,3.47058187736745e-05,"RAP1GAP/FAS/SLC6A12/CD36/PGRMC1/ACP2/GSR/PROS1/IDH1/CA2/TNFRSF1A/PDLIM5/GCH1/ARG2/SMOX/ELOVL5/TMBIM6/KYNU/AQP9/GSTO1/PSMB10/UPP1/ALAS1/CNDP2/MAN1A1/ETS2/ABCC3/PGD/ALDH2/PINK1/SLC1A5/ETFDH/SPINT2/KARS1/CBR1/SLC22A1/DDAH2/PDK4","GSE94438",1.60352929458197,0.000233936297004655,0.000556991183344418,"KYNU/MT2A/CD36/UPP1/GSTO1/IDH1/ACP2/GCH1/PSMB10/SLC6A12/PROS1/CBR1/CNDP2/FAS/SERTAD1/AQP9/KARS1/DDAH2/SLC35B1/TNFRSF1A/ACSM1/ALDH2/RAP1GAP/SLC1A5/PDLIM5/PGRMC1/PGD/CES1/DHRS7/SSR3/TMBIM6/HMOX1/PAPSS2/SLC22A1/NINJ1/FBP1/ETFDH/BLVRB/HPRT1/CYP27A1/GSR/COMT/ARG1/CDA/CA2/TMEM176B/PDK4/EPHA2/ETS2/PTGES3/MAN1A1/ACOX1/CSAD/FAH"
"GSE79362","HALLMARK_IL2_STAT5_SIGNALING",1.76570928756719,1.12789574029e-05,4.69956558454168e-05,"GBP4/CD44/PLSCR1/FGL2/CDCP1/SELP/TGM2/SOCS1/TNFSF10/IFITM3/SH3BGRL2/PIM1/ST3GAL4/GADD45B/CA2/CTSZ/FURIN/CYFIP1/TLR7/CXCL10/GLIPR2/PLAGL1/SELL/CISH/IL18R1/GSTO1/TNFRSF1B/GPR65/IKZF4/SMPDL3A/CSF1/RRAGD/NFIL3/AHR/CD86/DENND5A/MXD1/SLC2A3/CDC42SE2/MAP3K8/CKAP4/SLC1A5/P2RX4/BCL2L1/IL4R/P4HA1/BMPR2/NFKBIZ/TNFRSF9/MUC1/PRAF2/CAPG/IFNGR1/GUCY1B1","GSE94438",1.66523162296144,1.86639218578905e-05,5.83247558059077e-05,"SOCS1/GBP4/TNFSF10/IFITM3/PLSCR1/GADD45B/CD86/GSTO1/CXCL10/SELL/GLIPR2/GALM/NRP1/CD44/CTSZ/TLR7/TGM2/FGL2/BATF3/SMPDL3A/SLC2A3/GPR65/RRAGD/TNFRSF1B/NFIL3/IFNGR1/IL18R1/ST3GAL4/CAPG/CST7/ANXA4/MXD1/P2RX4/CYFIP1/ARL4A/MAFF/PIM1/MUC1/SLC1A5/RGS16/SELP/SH3BGRL2/BATF/SCN9A/CDCP1/XBP1/IL1R2/AHR/MAPKAPK2/SYNGR2/CKAP4/TNFRSF21/P4HA1/CCND3"
"GSE79362","HALLMARK_ADIPOGENESIS",1.74447629663231,1.85545941436753e-05,7.13638236295204e-05,"ITGA7/AGPAT3/CD36/STAT5A/STOM/PFKFB3/IDH1/SQOR/RIOK3/CD302/DHRS7B/TANK/PRDX3/BCL6/RAB34/CAVIN2/LPCAT3/MYLK/RNF11/GHITM/ALDOA/APLP2/BCL2L13/CRAT/ABCA1/RREB1/ALDH2/RTN3/SLC1A5/ACAA2/SCP2/SDHB/PPP1R15B/PIM3/NABP1/TKT/MGLL/BCKDHA/DECR1/GPD2/ESRRA/YWHAG/SOWAHC/POR/IFNGR1/PGM1/SSPN/CPT2/CHUK/GBE1/SLC19A1/GADD45A/SLC66A3/CAT/TALDO1/BAZ2A","GSE94438",1.65081306180912,8.79071360718794e-06,3.13954057399569e-05,"SQOR/CD36/ITGA7/DECR1/IDH1/STOM/ATP1B3/DHRS7B/GHITM/SDHB/REEP5/NABP1/AGPAT3/PFKFB3/RAB34/UBC/IFNGR1/RIOK3/RNF11/COX6A1/COX8A/COX7B/APLP2/MTCH2/ESRRA/ARL4A/ADIPOR2/CDKN2C/ACAA2/MGST3/ALDH2/PRDX3/ABCA1/SLC1A5/QDPR/PIM3/ITSN1/GPD2/ME1/SULT1A1/DHRS7/RTN3/UQCR10/STAT5A/UQCR11/UQCRC1/JAGN1/TALDO1/CYC1/TANK/ETFB/LPCAT3/IDH3G/NDUFB7/PLIN2/TKT/UCK1/AK2/BCL6/MYLK/GADD45A/DRAM2/SLC66A3/CPT2/DNAJB9/ALDOA/NDUFAB1/UQCRQ/ACADS/SUCLG1/ACOX1/FAH/SLC27A1/NDUFS3/ECHS1/ARAF/ECH1/NKIRAS1/SLC19A1/SOWAHC/PHYH"
"GSE79362","HALLMARK_PROTEIN_SECRETION",1.85812660251588,2.81863574988807e-05,0.000100665562496003,"VAMP3/STX12/RAB5A/SGMS1/GALC/NAPA/CTSC/SEC24D/RAB14/SEC22B/PPT1/LAMP2/KIF1B/ABCA1/CD63/TMED2/ADAM10/ARF1/COPB2/VPS4B/VAMP7/PAM/GNAS/ARCN1/ATP6V1H/TMX1/SCAMP1/RAB22A/ARFGAP3/SSPN/GLA/AP2M1/STAM/USO1/COPB1/ARFGEF1/SNAP23/AP3B1/RAB2A","GSE94438",1.7309460237367,6.125109263923e-05,0.000170141923997861,"VAMP3/CD63/CTSC/STX12/NAPA/GALC/GLA/RER1/AP2S1/CLTA/RAB2A/TSG101/SEC22B/LAMP2/SEC24D/YKT6/COPE/KIF1B/ABCA1/AP3B1/COPB2/ARF1/AP3S1/PPT1/CLTC/TMED2/YIPF6/COPB1/ARFIP1/STX16/VAMP7/RAB5A/VPS45/ATP6V1H/SNX2/TMX1/ARFGAP3/RAB9A/TMED10"
"GSE79362","HALLMARK_E2F_TARGETS",-1.64952974830413,4.59797176730393e-05,0.000153265725576798,"TIPIN/CKS1B/RFC3/PAICS/CENPM/SNRPB/H2AX/MCM2/WEE1/MCM4/KIF2C/NAA38/PSMC3IP/RFC1/NAP1L1/MMS22L/SYNCRIP/NCAPD2/ATAD2/ORC6/RAD51AP1/RAN/SPAG5/PCNA/XPO1/SHMT1/MLH1/PRIM2/DUT/TRA2B/HELLS/MSH2/EED/BRMS1L/TUBG1/CKS2/UBE2T/CDK4/SUV39H1/XRCC6/MCM6/PPP1R8/ASF1B/RPA1/CCNE1/CSE1L/PMS2/HNRNPD/POLD1/PRKDC/SSRP1/STMN1/CBX5/DDX39A/POLD2/DCTPP1/DNMT1/NOLC1/MCM5/RAD1/PNN/MRE11/NUP205/TIMELESS/NUP107/MCM3/UNG/EXOSC8/CHEK2/RPA2/DONSON/CDC25B/LYAR/LUC7L3/PAN2/PRPS1/POLE/LIG1/ILF3/RANBP1/KIF22/CTPS1/SRSF2/TBRG4/RBBP7/WDR90/NOP56/MCM7","GSE94438",-1.05680670633814,0.317448682137896,0.417695634391968,"CIT/RAD1/NCAPD2/SMC4/PPP1R8/RPA1/RACGAP1/MCM5/PNN/MCM7/CNOT9/SMC6/ATAD2/NUP205/POLD1/RFC1/MCM2/GINS4/MCM3/MMS22L/ASF1B/KIF22/RBBP7/MYC/CBX5/CTPS1/TCF19/NUP107/HELLS/NOLC1/PMS2/PRPS1/WEE1/DNMT1/ORC2/CDC25B/LIG1/WDR90/MSH2/TIMELESS/UNG/POLE/PAN2/ILF3"
"GSE79362","HALLMARK_MTORC1_SIGNALING",1.66821458150462,6.92889030949248e-05,0.00021652782217164,"DAPP1/WARS1/SSR1/FGL2/GSR/IDH1/GAPDH/ITGB2/ERO1A/MTHFD2/UBE2D3/CDKN1A/TBK1/CTSC/ELOVL5/ACTR3/FADS2/RIT1/RAB1A/NIBAN1/HSPA4/ACSL3/ALDOA/NAMPT/ETF1/NFIL3/ACTR2/GSK3B/SQSTM1/SLC2A3/IFI30/GLRX/SKAP2/SLC1A5/PPA1/SRD5A1/ENO1/ATP6V1D/PGK1/P4HA1/LTA4H/MAP2K3/SLA/EDEM1/PGM1/GLA/GTF2H1/SLC7A11/GBE1/USO1/G6PD/TXNRD1/SLC7A5/NFYC/PDK1/RDH11","GSE94438",1.60571629035894,2.08583934531267e-05,6.13482160386078e-05,"WARS1/IDH1/CTSC/IFI30/LTA4H/GLRX/FGL2/MTHFD2/DAPP1/SRD5A1/SERP1/RAB1A/GLA/SLC2A3/NAMPT/TPI1/SSR1/PGK1/CDKN1A/LDHA/PSMA4/GAPDH/UBE2D3/PPP1R15A/NFIL3/DDIT3/YKT6/CFP/ADIPOR2/ACSL3/ETF1/SLC1A5/QDPR/PSMD13/SEC11A/ITGB2/ME1/XBP1/RIT1/PSMB5/P4HA1/NFKBIB/PSMD12/TBK1/PPA1/CXCR4/ERO1A/ENO1/HPRT1/NFYC/FADS1/SKAP2/PSMA3/GSR/SLC7A5/SLA/CANX/HMBS/IDI1/PDAP1/NIBAN1/EGLN3/COPS5/ACTR3/RPN1/LDLR/PRDX1/ATP5MC1/ATP6V1D/MAP2K3/ALDOA"
"GSE79362","HALLMARK_COAGULATION",1.80757006147326,0.000110260665179076,0.000317660256513502,"SERPING1/C2/MSRB2/CLU/ADAM9/CTSB/SPARC/PROS1/FURIN/ITGB3/FN1/PLEK/MMP8/MMP14/SH2B2/LAMP2/C1QA/SERPINA1/CTSH/GSN/DUSP6/CASP9/ARF4/LTA4H/C1R/CPQ/GP9/CTSO/RAC1/MAFF/LRP1/PEF1/PF4/PECAM1/MMP9/GNB2/CAPN2/ITGA2/GP1BA/KLF7","GSE94438",1.91354663965014,1.09039872801056e-07,5.78257680168415e-07,"SERPING1/C2/C1QA/MSRB2/CTSB/MMP14/LTA4H/ARF4/PROS1/RAC1/CTSH/TIMP1/PLEK/CTSO/SERPINA1/LRP1/ANG/ADAM9/LAMP2/DUSP6/CPQ/MAFF/F8/CTSE/HTRA1/PEF1/CLU/RABIF/CSRP1/GNB2/SERPINB2/SH2B2/FURIN/GSN/CASP9/GP9/PECAM1/ITGB3/SPARC"
"GSE79362","HALLMARK_KRAS_SIGNALING_UP",1.6892847530624,0.000114357692344861,0.000317660256513502,"PDCD1LG2/F13A1/CTSS/SCN1B/TOR1AIP2/GADD45G/F2RL1/TMEM158/PSMB8/ITGB2/ERO1A/CA2/PRDM1/PPBP/TLR8/CXCL10/PLAUR/IL1B/LCP1/PLEK2/MAFB/MMD/TRIB1/MPZL2/EPB41L3/KLF4/TNFRSF1B/GALNT3/EPHB2/VWA5A/BPGM/LAPTM5/LAT2/ADGRA2/GNG11/ADAM17/GLRX/DUSP6/GPRC5B/CLEC4A/C3AR1/FCER1G/AKAP12/GYPC/ADAM8/TMEM176B/MAP3K1/CSF2RA/GUCY1A1","GSE94438",1.62513468397548,6.77519166885846e-05,0.000178294517601538,"PDCD1LG2/C3AR1/FCER1G/PSMB8/CXCL10/CTSS/LY96/GLRX/EPB41L3/NRP1/PLAUR/IL1B/MAFB/G0S2/TOR1AIP2/TLR8/VWA5A/GNG11/BPGM/TNFRSF1B/EPHB2/CLEC4A/LCP1/LAT2/PPP1R15A/SEMA3B/DUSP6/GALNT3/GADD45G/USP12/F2RL1/HBEGF/IL2RG/TMEM158/PPBP/RGS16/ITGB2/GUCY1A1/TRIB1/PTGS2/CXCR4/ERO1A/LAPTM5/CSF2RA/SCN1B/MMD/F13A1/TNFAIP3/SLPI/PRDM1/ARG1/FUCA1/CA2/CMKLR1/KLF4/TMEM176B"
"GSE79362","HALLMARK_PI3K_AKT_MTOR_SIGNALING",1.73907860036001,0.000483986180704003,0.0012736478439579,"DUSP3/DAPP1/RALB/STAT2/MYD88/UBE2D3/CDKN1A/TBK1/TNFRSF1A/MKNK1/CAB39/ACTR3/RIT1/GRB2/ACTR2/GSK3B/SQSTM1/SMAD2/ARF1/RPS6KA1/MAPKAP1/MAP2K3/PRKAR2A/SLA/PTEN/E2F1/RIPK1/RAC1/AP2M1/ARPC3","GSE94438",1.51966013853933,0.00456788043203855,0.00845903783710844,"DUSP3/STAT2/RAC1/DAPP1/RALB/PRKAG1/MYD88/ARPC3/CDKN1A/UBE2D3/DDIT3/RIPK1/TNFRSF1A/IL2RG/GRB2/PTEN/MAP2K6/IRAK4/ARF1/CFL1/RIT1/CLTC/MKNK1/NFKBIB/CSNK2B/TBK1/CXCR4/E2F1/SLA/YWHAB/RPS6KA1/ACTR3/AKT1S1"
"GSE79362","HALLMARK_UV_RESPONSE_UP",1.62502179824113,0.00103529181534415,0.00255588018072342,"TAP1/IRF1/ICAM1/SLC6A12/CREG1/GRINA/SOD2/ATF3/MGAT1/CA2/FURIN/RAB27A/ATP6V1C1/GCH1/PRKCD/TMBIM6/LYN/MMP14/DLG4/ALDOA/JUNB/ALAS1/PPT1/CDKN2B/HLA-F/ARRB2/NFKBIA/NUP58/CYB5R1/SQSTM1/DNAJA1/SLC6A8","GSE94438",1.64998351043091,0.000107963353446868,0.000269908383617169,"ATF3/TAP1/CREG1/IRF1/MMP14/IGFBP2/GCH1/FOS/SLC6A12/GRINA/JUNB/HLA-F/BAK1/ICAM1/DLG4/AP2S1/MGAT1/FOSB/ATP6V1F/ARRB2/ATP6V1C1/YKT6/CNP/BID/CDC34/EIF2S3/STARD3/CYB5R1/CLTB/BCL2L11/HYAL2/SULT1A1/RAB27A/TMBIM6/LYN/ACAA1/DNAJA1/HMOX1/PRKCD/PPT1/PPIF/CCND3/MRPL23/UROD/BSG/NFKBIA/NAT1/PDAP1/FURIN/CA2"
"GSE79362","HALLMARK_HYPOXIA",1.5800740807202,0.00107346967590384,0.00255588018072342,"SDC3/TGM2/SIAH2/EXT1/PFKFB3/PIM1/UGP2/GAPDH/ZFP36/ATF3/ERO1A/BNIP3L/CITED2/PLAUR/ADM/CDKN1A/WSB1/MXI1/VHL/ALDOA/NDST1/RRAGD/NFIL3/HK1/FOSL2/SLC2A3/GLRX/PNRC1/RBPJ/PDK3/ENO1/PGK1/P4HA1/PAM/AKAP12/VEGFA/FOXO3/GAA/SDC4/NR3C1/SELENBP1/PGM1/MAP3K1/GBE1/MAFF/TGFBI/DPYSL4/PDK1/TIPARP/PLIN2/ISG20/HDLBP/SLC6A6/ZNF292/LDHA/DUSP1/GALK1/KLF7/FBP1/PLAC8/TNFAIP3/PGM2","GSE94438",1.7610909164049,9.21435936711131e-07,4.18834516686878e-06,"ATF3/SDC3/MT2A/ADM/PLAC8/GLRX/SAP30/FOS/ISG20/PLAUR/TGM2/DUSP1/NOCT/NAGK/SLC2A3/TPI1/BNIP3L/ANXA2/S100A4/PGK1/CDKN1A/RRAGD/PFKFB3/LDHA/GAPDH/PPP1R15A/NFIL3/DDIT3/ZFP36/PDK3/EXT1/TGFBI/RBPJ/MAFF/PIM1/WSB1/PRDX5/TPST2/FOXO3/SIAH2/UGP2/HMOX1/TIPARP/P4HA1/CITED2/IER3/GALK1/FOSL2/SELENBP1/FBP1/CXCR4/ERO1A/ENO1/MT1E/JMJD6/TNFAIP3/PLIN2"
"GSE79362","HALLMARK_ANDROGEN_RESPONSE",1.63325960107416,0.00134923954801747,0.00306645351822153,"GSR/PDLIM5/SEC24D/ELOVL5/SLC38A2/TMEM50A/VAPA/ABHD2/ACSL3/TSC22D1/UBE2J1/STEAP4/SAT1/PIAS1/SRF/GNAI3/CAMKK2/XRCC5/AKAP12/ACTN1/ABCC4/PTK2B/GUCY1A1/B2M/B4GALT1/APPBP2/FKBP5/SRP19/HPGD/H1-0/NCOA4/HOMER2/ELL2/ARID5B/ANKH/HERC3","GSE94438",1.37711968852896,0.0396145610278373,0.0660242683797288,"SAT1/B2M/VAPA/MYL12A/TMEM50A/FKBP5/SEC24D/MERTK/GNAI3/ACSL3/SPCS3/CAMKK2/PDLIM5/PTK2B/SMS/ELL2/GUCY1A1/CCND3/B4GALT1/FADS1/GSR/IDI1/PIAS1/UBE2J1/STEAP4/ADRM1/DNAJB9/ABHD2/NCOA4/XRCC5/DBI/SRP19/HPGD/PA2G4/ELOVL5"
"GSE79362","HALLMARK_ESTROGEN_RESPONSE_EARLY",1.56292752865524,0.00172091058593544,0.00374110996942486,"CD44/JAK2/AFF1/TGM2/SIAH2/MYOF/AMFR/RAB31/TMEM164/MICB/CISH/CANT1/ELOVL5/KLF4/ABHD2/CBFA2T3/CHPT1/KLF10/GAB2/ALDH3B1/SLC24A3/SLC37A1/ZNF185/FHL2/ELF1/RARA/PPIF/MUC1/UGCG/TBC1D30/GLA/ENDOD1/B4GALT1/MINDY1/FKBP5/NRIP1/SLC7A5/TIPARP/INHBB/MAST4/ISG20L2/ANXA9/KAZN/SEMA3B","GSE94438",0.866146195042746,0.758974358974359,0.807419530823786,"MYOF/FOS/CD44/MICB/TGM2/GLA/AFF1/EGR3/JAK2/FKBP5/RAB31/SEMA3B/TTC39A/MUC1/SIAH2/XBP1/TIPARP/PAPSS2/PPIF/ALDH3B1/ZNF185/RARA/B4GALT1/BLVRB/SLC7A5/ITPK1/UNC119/ISG20L2/CHPT1/GAB2/KLF4/CANT1/ARL3"
"GSE79362","HALLMARK_APICAL_JUNCTION",1.52270211138925,0.0033775764970626,0.00703661770221376,"CD274/MAPK14/ICAM1/MAP3K20/FYB1/MYL9/SDC3/ADAM9/NEXN/MPZL2/CLDN5/VCAN/PIK3CB/SRC/SIRPA/CRAT/CD86/PTK2/SKAP2/CD209/YWHAH/VASP/ADAM15/ZYX/CNN2/GNAI2/TSPAN4/RAC2/SYK/ACTN1/ACTB/PTEN/FSCN1/CTNNA1/TGFBI/RSU1/IRS1/B4GALT1/ICAM5/JAM3/PECAM1/PTPRC/MMP9/INPPL1/CLDN9/ITGA2/ARPC2/CAP1/NECTIN2/GNAI1/NF2/RRAS/MSN","GSE94438",1.18694787149494,0.157786885245902,0.239071038251366,"CD274/SDC3/VCAN/CD86/CD209/MAPK14/MDK/MAP3K20/NEXN/ICAM1/TSPAN4/SRC/RRAS/ARPC2/ADAM9/FYB1/MYL12B/TGFBI/STX4/CTNNA1/PTEN/VASP/B4GALT1/MYL9/ADAM15/SKAP2/ZYX/GNAI2/ACTB/NECTIN2/IKBKG/SIRPA/RSU1/SYK/PECAM1/CD99/PIK3CB/GTF2F1/ICAM5/RAC2/ICAM2/PFN1/ITGB4/MPZL2/YWHAH/PCDH1/CTNND1/ALOX15B/CLDN5"
"GSE79362","HALLMARK_ESTROGEN_RESPONSE_LATE",1.49158515145321,0.00504900625028839,0.0100980125005768,"CD44/JAK2/SNX10/AFF1/SIAH2/PRKAR2B/ZFP36/CA2/MYOF/AMFR/RAB31/MICB/CISH/ELOVL5/KLF4/ABHD2/CHPT1/PRLR/S100A9/ALDH3B1/SLC24A3","GSE94438",1.35613467602403,0.0256410256410256,0.0442086648983201,"S100A9/MYOF/FOS/ISG20/DNAJC1/CD44/MICB/MDK/SERPINA1/GLA/ST14/AFF1/PRKAR2B/EGR3/JAK2/FKBP5/SNX10/ZFP36/RAB31/SEMA3B/PRLR/BATF/SIAH2/XBP1/PAPSS2/PPIF/ALDH3B1/GFUS/BLVRB/COX6C/HPRT1/ETFB/SLC7A5/ITPK1/GPER1/IMPA2/CHPT1/CA2/KLF4/PTPN6"
"GSE79362","HALLMARK_TGF_BETA_SIGNALING",1.60842907982225,0.00552803216414353,0.0106308310848914,"FURIN/UBE2D3/TGFB1/RAB31/ACVR1/IFNGR2/XIAP/PPM1A/KLF10/JUNB/TGFBR1/BMPR2/SLC20A1/FKBP1A/CTNNB1/SMURF1/ARID4B/BCAR3/RHOA","GSE94438",0.885999946292668,0.669354838709677,0.737834725021595,"JUNB/FKBP1A/IFNGR2/UBE2D3/PPP1R15A/RAB31/RHOA/TGFB1/XIAP/SMAD1/SLC20A1/FURIN/BMPR2/PPM1A/THBS1/SKIL"
"GSE79362","HALLMARK_P53_PATHWAY",1.43720025248491,0.0109897391478248,0.0203513687922682,"TAP1/FAS/RHBDF2/TCN2/CASP1/TRAFD1/SOCS1/DRAM1/STOM/ATF3/CDKN1A/TGFB1/GM2A/SPHK1/RNF19B/KLF4/UPP1/ZFP36L1/PTPRE/TSC22D1/VWA5A/PPM1D/CTSD/CDKN2B/CEBPA/RB1/VDR/MXD1/SAT1/TGFA/SP1/SERTAD3/IFI30/APP/MAPKAPK3/TAX1BP3/BAK1/CD82/PDGFA/ACVR1B","GSE94438",1.62890737186257,1.75779183292898e-05,5.83247558059077e-05,"ATF3/SOCS1/CASP1/SAT1/TCN2/TAP1/DRAM1/TRAFD1/UPP1/RHBDF2/IFI30/FOS/GM2A/STOM/BAK1/FAS/SERTAD3/SPHK1/VWA5A/CTSD/ST14/S100A4/VAMP8/SDC1/CDKN1A/H2AJ/PPP1R15A/DDIT3/PLXNB2/MAPKAPK3/MXD1/S100A10/HBEGF/SP1/FOXO3/PTPRE/RGS16/HMOX1/SEC61A1/CCND3/IER3/NINJ1/RNF19B/TXNIP/TGFB1/SLC3A2/BAX"
"GSE79362","HALLMARK_ANGIOGENESIS",1.60958931508017,0.0123277653734679,0.0220138667383356,"JAG1/LRPAP1/VCAN/PTK2/APP/PDGFA/VEGFA/SPP1/FSTL1/PF4/PGLYRP1/LPL","GSE94438",1.58404938486869,0.0130483592961236,0.0233006416002207,"VCAN/NRP1/TIMP1/S100A4/LRPAP1/TNFRSF21/JAG1"
"GSE79362","HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.48592486319011,0.0197818765410361,0.0341066836914416,"FBXO6/CLU/PLSCR1/ANXA5/ATF3/PLAUR/JAG1/FADS2/ATF5/NIBAN1/CXCL16/NFIL3/ACSS2/ANTXR2/PNRC1/PDK3","GSE94438",1.65217889108513,0.00162949356520569,0.00339477826084519,"ATF3/FBXO6/PLSCR1/PLAUR/CXCL16/ATF5/S100A11/ACSS2/NFIL3/SEMA3B/ANXA5/PDK3/LGALS3/GUSB/STX5/CLU/JAG1/TNFRSF12A/ETHE1/PMVK/IDI1/NIBAN1"
"GSE79362","HALLMARK_MYC_TARGETS_V1",-1.25512327124279,0.0273909134776925,0.0456515224628208,"DUT/SF3B3/TRA2B/TCP1/GOT2/LSM2/NCBP1/TRIM28/RPS6/CDK4/CDK2/XRCC6/RPS10/RPL6/HNRNPA2B1/CCT2/EIF3J/XPOT/MCM6/TOMM70/SNRPA/GNL3/HSPE1/PHB2/HNRNPD/SRSF3/C1QBP/RPLP0/SNRPD3/NCBP2/POLD2/CSTF2/NOLC1/RPS3/G3BP1/RPL18/POLE3/RPS2/DDX18/CCT3/LSM7/HNRNPA1/MCM5/RPS5/NHP2/HNRNPA3/RPL14/PRPF31/FBL/GLO1/MRPL9/RNPS1/CCT7/BUB3/HSP90AB1/PWP1/IMPDH2/EIF4A1/EXOSC7/RRP9/CAD/PPIA/TARDBP/RFC4/APEX1/HDDC2/SRSF7/RANBP1/CTPS1/SRSF2/SNRPA1/NOP56/MCM7","GSE94438",1.04398798648996,0.398373983739837,0.497967479674797,"PSMB3/PSMA1/PSMB2/YWHAE/CUL1/PGK1/LDHA/KARS1/PSMA4/EIF4H/SRPK1/KPNB1/ETF1/PRDX3/PRDX4/AP3S1/COX5A/H2AZ1/CNBP/VDAC1/PSMA7/UBE2E1/MRPL23/PSMA6/CYC1/HPRT1/PSMD8/HDGF/UBE2L3/CANX/SLC25A3/PSMA2/TXNL4A/COPS5/VDAC3/RPL34/PTGES3/NDUFAB1/PRPS2/EIF2S2/ERH/STARD7/SSBP1/SNRPB2/SNRPG/NME1/HNRNPC"
"GSE79362","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",1.38749229794058,0.0336927223719677,0.0543431005999478,"FAS/CD44/MYL9/TGM2/IL15/CD59/SNTB1/SPARC/GADD45B/ITGB5/PLAUR/TGFB1/ITGB3/MYLK/FN1/MMP14/VCAN/CALD1/WIPF1/ACTA2/SAT1/TPM4/VIM/SLC6A8/LOXL1/BASP1/VEGFA/CAPG/TPM1/SDC4/GADD45A/TGFBI/LRP1/SPP1/FSTL1/COPA","GSE94438",1.53417494785074,0.00183688596728367,0.00367377193456735,"SAT1/VCAN/GADD45B/IL15/MMP14/IGFBP2/PLAUR/CD44/CD59/TGM2/FAS/TIMP1/LGALS1/LRP1/SDC1/FSTL3/CAPG/TGFBI/EMP3/HTRA1/LOXL1/VIM/GLIPR1/PLOD1/DAB2/TNFRSF12A/CALU/COL8A2/TGFB1/QSOX1/MYL9/TNFAIP3/FUCA1/BASP1/ACTA2/TPM4/FBN2/SDC4/COLGALT1/MYLK/GADD45A/ITGB3/SPARC/PPIB/THBS1/CXCL1"
"GSE79362","HALLMARK_PEROXISOME",1.38735370311261,0.0403899721448468,0.0631093314763231,"ACSL4/SOD2/IDH1/BCL10/ATXN1/ACSL1/ALDH1A1/GSTK1/ELOVL5/STS/HSD17B11/SEMA3C/HSD3B7/DLG4/CRAT/CNBP/MVP/ABCD1/SCP2/YWHAH/VPS4B/PABPC1","GSE94438",1.14923801276971,0.229367631296892,0.327668044709845,"IDH1/ALDH1A1/HSD17B11/GSTK1/STS/DLG4/HMGCL/MVP/ACSL4/ACSL1/BCL10/TSPO/PRDX5/FIS1/ACOT8/ACAA1/CNBP/ABCD1/FADS1/HSD3B7/IDI1/PRDX1/IDH2/HSD17B4/ACOX1/FDPS/SLC27A2/CDK7/ATXN1/ECH1"
"GSE79362","HALLMARK_GLYCOLYSIS",1.30083000152018,0.0526315789473684,0.0797448165869218,"CD44/SDC3/EXT1/HS2ST1/IDH1/UGP2/ERO1A/IL13RA1/CITED2/DSC2/ME2/PKM/MXI1/RBCK1/VCAN/ALDOA/RRAGD/PGAM1/SLC16A3/PYGL/TGFA/B4GALT4/GLRX/COPB2/PDK3/ENO1/PGK1/P4HA1/PPP2CB/PAM/VEGFA/CHPF2/TGFBI/B4GALT1/TALDO1/DPYSL4/LHPP/G6PD/NOL3/GNPDA1/CLDN9/ISG20/HDLBP/ZNF292/LDHA/GALK1/DLD/NDUFV3/QSOX1","GSE94438",1.70881807054897,2.45415707634221e-06,1.02256544847592e-05,"SDC3/VCAN/IDH1/GLRX/SAP30/RBCK1/ISG20/CD44/NOL3/TPI1/TXN/ANG/SDC1/PGK1/AKR1A1/RRAGD/LDHA/DSC2/ME2/SLC16A3/PDK3/EXT1/TGFBI/MERTK/AGRN/GLCE/SRD5A3/IL13RA1/HS2ST1/GUSB/PGLS/COPB2/ME1/PGAM1/UGP2/P4HA1/CITED2/IER3/PLOD1/GALK1/GFUS/TALDO1/CXCR4/PPP2CB/GNPDA1/B4GALT1/NDUFV3/ERO1A/QSOX1/ENO1/NASP/GMPPA"
"GSE79362","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",1.39317795276451,0.061046511627907,0.0897742818057456,"GSR/SOD2/SBNO2/MGST1/FES/JUNB/HHEX/MSRA/GLRX/MPO/PRNP/ATOX1/CAT/PRDX6/MBP/G6PD/TXNRD1/GPX3/FTL/CDKN2D/GCLM/PTPA/PRDX1/TXN/SRXN1","GSE94438",1.68519288582889,0.00195241418240293,0.00375464265846717,"MGST1/GLRX/ATOX1/JUNB/CDKN2D/TXN/FTL/LAMTOR5/HHEX/FES/SBNO2/PRDX4/PRDX6/GLRX2/MSRA/SELENOS/GSR/NDUFA6/SRXN1/NDUFS2/PTPA/LSP1/PRDX1/NDUFB4"
