"gene","logFC","logCPM","F","PValue","FDR"
"FCGR1CP",1.76425867802059,2.29053861582204,119.745922771099,3.56564930717085e-24,5.22390350704461e-20
"GBP6",1.70014580752623,1.17228103515695,118.000941095358,6.31096769198986e-24,5.22390350704461e-20
"H2BP2",1.65796484593546,0.737040523120742,99.9652322875653,6.46509906508799e-21,3.56765716741772e-17
"GBP5",1.11201167681079,9.09802861759437,97.1757597697031,2.15718486795397e-20,8.92804887224449e-17
"ANKRD22",1.67124220645307,3.88975908931087,94.3950979254434,6.52120258808277e-20,2.1591701769142e-16
"FCGR1A",1.31786868155105,4.70446972411858,88.6247478586325,6.56391693118415e-19,1.81109407992923e-15
"FCGR1B",1.11205547676184,4.2857902879651,87.0843109056441,1.22387985659782e-18,2.89447586085385e-15
"LINC02555",1.0649986476321,2.33767516082816,86.2834580985567,1.69668716781224e-18,3.51108200789146e-15
"APOL4",1.59604926288822,1.44793620411604,81.2458826190071,1.27429227264017e-17,2.34398984150645e-14
"SCARF1",0.84561458913462,6.11700147442397,80.4986600946795,1.79715799834767e-17,2.97519506626456e-14
"BATF2",1.45501504258227,4.69920145722429,77.6507790992734,5.82902538216152e-17,8.05396285206007e-14
"PDCD1LG2",1.36621057644257,1.27420307711202,77.5634552160703,5.8379676366488e-17,8.05396285206007e-14
"CD274",1.12568640349174,5.17370104627857,76.8118670528138,8.25089124968314e-17,1.05071926645003e-13
"GBP1P1",1.22189980654158,2.68117131359416,76.5183061730707,9.34914781929052e-17,1.1055367296311e-13
"GBP1",0.963612904977223,7.73032750644821,75.7066404927494,1.30605108833304e-16,1.44144505115689e-13
"GBP2",0.567351704363589,9.01764380642523,74.6001393153247,2.07170068724182e-16,2.08842273506195e-13
"SERPING1",1.5639937187504,6.20702197878421,74.5175819017411,2.14455974002133e-16,2.08842273506195e-13
"DUSP3",0.513444322928167,5.82666024060166,74.3369728426504,2.31256384893289e-16,2.12691636217133e-13
"LHFPL2",0.703845213674959,4.48219783507623,73.4550285840064,3.34578241393399e-16,2.91523304540407e-13
"IL15RA",0.451057355595046,3.93588928745143,73.2655826171972,3.62401079281731e-16,2.99977493375453e-13
"SORT1",0.56805591566553,5.96648965708035,72.5029391769913,4.98495637893452e-16,3.92980727872671e-13
"SECTM1",0.748637254701398,8.57477834154296,72.0987855015074,5.90684006850435e-16,4.44489715154952e-13
"ZNF767P",-0.198984281537515,5.35944366676431,67.7234156934384,3.75284478309233e-15,2.70123240800407e-12
"NRN1",1.3386980412755,1.08045271559506,67.3697877768981,4.2243378032501e-15,2.91391301386689e-12
"TAP1",0.483839967874352,9.05146925834754,67.2390524366666,4.61064921353727e-15,3.05317190920438e-12
"LACTB",0.400728515341768,4.94313060606969,66.5317761890256,6.23243000007109e-15,3.96837994812219e-12
"PSTPIP2",0.649971863693753,6.40488503507684,66.3998939597698,6.5918916145489e-15,4.04180613625397e-12
"SEPTIN4",1.51804664626958,2.90076593615413,65.8288072658699,8.41146432973389e-15,4.97327828495516e-12
"ERLIN1",0.342946169975183,5.08988439792666,65.1710739889001,1.11427119981634e-14,6.27380417501349e-12
"AC243772.2",0.987925442566352,1.54220762426077,65.0979591371618,1.13690199486804e-14,6.27380417501349e-12
"CTSA",0.405722220412541,7.68857690715826,64.2663510971737,1.64143087468381e-14,8.7657703646421e-12
"APOL1",0.598625773109915,6.55522497783403,63.4087554533634,2.37203823895974e-14,1.22715915768683e-11
"RAB20",0.683085560839526,3.91839855987409,62.9255166109429,2.92260620895789e-14,1.46617411482721e-11
"APOL6",0.56177878111097,7.76782541114977,62.4755952273201,3.54412627371693e-14,1.72567677827599e-11
"ETV7",1.32587700663132,3.78580312426526,61.7991090219595,4.75190885127294e-14,2.2476528866521e-11
"C2",0.971766717656542,1.58949364751768,59.3555528442928,1.35749656360962e-13,6.24259878071036e-11
"NUCB1",0.389221385574007,8.02524751222906,58.6933580190078,1.82316242149356e-13,8.15741996968266e-11
"AC244453.2",0.981092073161886,1.04891374948987,58.5615114958606,1.88433111643547e-13,8.20923727173399e-11
"DCUN1D3",0.257498315596727,3.52008289833854,57.8787157439132,2.60337991930736e-13,1.10510139908034e-10
"GBP4",0.605380578869335,7.10049484297464,56.8648525837083,4.04881778347806e-13,1.67570446013698e-10
"FZD5",0.63141613307262,0.407218973333208,56.4725913506242,4.58318726795769e-13,1.85060159075706e-10
"STAT1",0.544618438750243,8.98994811408453,55.7062087790691,6.72643994487797e-13,2.65133841160607e-10
"ASPHD2",0.411022400612466,3.82809064714355,55.5063122489095,7.34891794537751e-13,2.82933340897034e-10
"AL157871.2",0.691497212612789,0.392057537473001,53.988755497639,1.35964196720062e-12,5.08697086722375e-10
"FLVCR2",0.540566068041024,3.70756029910205,54.0464944283727,1.39700248491592e-12,5.08697086722375e-10
"SLAMF8",0.677583579960028,1.45028842329714,54.0041154262111,1.41347423673991e-12,5.08697086722375e-10
"TIFA",0.502263009713523,4.81738843796725,53.8391884127175,1.52964056641534e-12,5.38791480361829e-10
"CETP",0.505673049531575,2.68218920445272,52.5749337403439,2.68055061718814e-12,9.24510738907283e-10
"TRIM69",0.330966146855116,6.34194729890295,52.3314426674837,2.97835459589972e-12,1.00625837418612e-09
"LIMK1",0.379839974778224,6.20962260347591,51.2823177498181,4.74359172470243e-12,1.57060322004898e-09
