"study","pathway","NES","pvalue","p.adjust","leading_edge_genes"
"GSE94438","HALLMARK_INTERFERON_ALPHA_RESPONSE",2.57944628442083,1e-10,1e-09,"BATF2/LAP3/UBE2L6/RTP4/PARP14/GBP2/CASP1/CCRL2/IFI35/BST2/GBP4/WARS1/PSME2/EPSTI1/TAP1/SAMD9L/IFITM3/IFITM1/PLSCR1/IRF7/STAT2/IFI27/PARP9/TRAFD1/NMI/PSMB8/IFIT3/PSMB9/CXCL10/ISG15/TRIM21/IRF1/IL15/SELL/LY6E/OAS1/MOV10/RIPK2/NUB1/PARP12/PSME1/OASL/IFI30/DHX58/IFIH1/MX1/DDX60/IFI44/SP110/EIF2AK2/TMEM140/IFI44L/IFIT2/ISG20/TDRD7/RSAD2/IRF9/TRIM5/LAMP3/CMPK2/UBA7/IFITM2/LGALS3BP/TRIM25/ADAR/HELZ2/OGFR/SLC25A28/HLA-C/USP18/CMTR1/HERC6/B2M/IRF2/RNF31"
"GSE94438","HALLMARK_INTERFERON_GAMMA_RESPONSE",2.54390874070336,1e-10,1e-09,"BATF2/LAP3/SERPING1/CD274/GBP6/FCGR1A/APOL6/VAMP5/SOCS1/UBE2L6/RTP4/PARP14/CASP1/IFI35/BST2/GBP4/WARS1/PSME2/STAT1/TNFSF10/TNFAIP6/EPSTI1/TAP1/SAMD9L/SECTM1/IFITM3/PLSCR1/IRF7/MT2A/STAT2/IFI27/TRAFD1/NMI/CD86/PSMB8/IFIT3/UPP1/PSMB9/CXCL10/ISG15/PML/TRIM21/IRF1/IL15/LY6E/P2RY14/LYSMD2/RIPK2/CASP4/PARP12/PSME1/OASL/ZBP1/IL15RA/IFI30/DHX58/IFIH1/MX1/PLA2G4A/DDX60/IFI44/GCH1/SP110/EIF2AK2/PSMB10/RBCK1/RIGI/IFI44L/IFIT2/ISG20/SOCS3/TDRD7/RSAD2/IRF9/SPPL2A/HLA-A/OAS2/RNF213/FGL2/MTHFD2/SAMHD1/OAS3/HLA-B/CMPK2/EIF4E3/FAS/TOR1B/PSMB2/MYD88/IFIT1/IFITM2/MX2/LGALS3BP/ICAM1/TRIM25/ADAR/HELZ2/OGFR/SLC25A28/ZNFX1/FPR1/USP18/CMTR1/NAMPT/HERC6/IRF5/B2M/BPGM/VAMP8/IRF2/RNF31/XAF1/MVP/CDKN1A/TAPBP/JAK2"
"GSE94438","HALLMARK_INFLAMMATORY_RESPONSE",2.13672180088989,1e-10,1e-09,"RTP4/CCRL2/MSR1/BST2/CYBB/MARCO/TNFSF10/TNFAIP6/C3AR1/IFITM1/IRF7/SCARF1/NMI/CXCL10/IRF1/IL15/SELL/LY6E/AXL/RIPK2/ADM/IL15RA/MMP14/GCH1/EIF2AK2/PLAUR/TLR2/LAMP3/FFAR2/OSM/KCNJ2/IL1B/TIMP1/IL18/IFNGR2/FZD5/ICAM1/IL18RAP/FPR1/SLC31A1/SPHK1/NAMPT/CD14/TLR1/PSEN1/AQP9/CDKN1A/TAPBP/TNFRSF1B/IFNAR1/GNA15/STAB1/CD55/IL18R1/MXD1/RNF144B/P2RX4/CXCL9/SGMS2/RHOG/GNAI3/BEST1/KIF1B/HBEGF/EMP3/LCP2/ABCA1/PTPRE/RGS16/SLC31A2/MEFV/SRI/LYN/CSF3R"
"GSE94438","HALLMARK_COMPLEMENT",2.07025202795793,1e-10,1e-09,"C1QC/LAP3/SERPING1/C2/C1QA/CASP1/CASP5/KYNU/PLSCR1/IRF7/FCER1G/CD36/S100A9/PSMB9/IRF1/CTSS/CASP4/CTSB/CTSC/MMP14/S100A12/LTA4H/CTSL/PLA2G4A/FCN1/PLAUR/GNB4/ATOX1/CD59/MSRB1/CTSH/TIMP1/LIPA/PLEK/DOCK4/CASP10/CTSO/SRC/PRCP/CTSD/SERPINA1/GCA/LRP1/IRF2/PSEN1/ANG/ADAM9/JAK2/USP15/CEBPB/LAMP2/CD55/VCPIP1/ANXA5/DUSP6/CPQ/ITGAM/RHOG/STX4/GNAI3/MAFF/PIM1/LGALS3/LCP2/F8/CR1/GRB2/CASP7/F5/TIMP2/GPD2/PLA2G7/CLU/ME1/PPP4C/LYN/NOTCH4/PRKCD/RABIF/GNGT2/CSRP1/CPM/GNB2/PPP2CB/CD46/APOBEC3G"
"GSE94438","HALLMARK_TNFA_SIGNALING_VIA_NFKB",1.97088620963609,1e-10,1e-09,"ATF3/EGR1/SAT1/CCRL2/TNFAIP6/KYNU/TAP1/DRAM1/GADD45B/CXCL10/IRF1/RIPK2/IL15RA/IFIH1/EGR2/GCH1/RIGI/FOS/IFIT2/SOCS3/PLAUR/TLR2/CD44/DUSP1/IER2/JUNB/IL1B/G0S2/IL18/IFNGR2/PLEK/ICAM1/SPHK1/CEBPD/SLC2A3/NAMPT/NFE2L2/BCL2A1/B4GALT5/EGR3/EIF1/CDKN1A/PFKFB3/FOSB/CEBPB/NFKBIE/PPP1R15A/NFIL3/SLC16A6/ZFP36/MCL1/RELB/MXD1/MARCKS/F2RL1/MAFF/HBEGF/BCL3/FUT4/ABCA1/PTPRE/PDLIM5/SLC2A6/CFLAR/TNFAIP2/LITAF/TIPARP/STAT5A/TRIB1/PTGS2/IER3/JAG1/FOSL2/NINJ1/RNF19B/B4GALT1/TNIP1/TANK/DUSP5/PDE4B/TNFAIP3/SERPINB2/NFKBIA/DENND5A/FOSL1/KLF4/SERPINB8/SDC4/NFKB2/PER1/LDLR/BCL6/ETS2/GADD45A"
"GSE94438","HALLMARK_IL6_JAK_STAT3_SIGNALING",2.10738882993114,1.57722029814765e-10,1.31435024845638e-09,"SOCS1/STAT1/STAT2/CD36/CXCL10/IRF1/IL15RA/SOCS3/TLR2/IRF9/CD44/IL12RB1/IL1B/CCR1/ACVRL1/BAK1/FAS/MYD88/LTBR/IFNGR2/CD14/TNFRSF1B/IFNAR1/IFNGR1/IL18R1/CXCL9/TNFRSF1A/PIM1/IL2RG/GRB2/IL13RA1/STAM2/STAT3/IL17RA/CSF3R/HMOX1/IL1R2/LEPR/IL10RB/TNFRSF21/TNFRSF12A/IL3RA/TGFB1/CSF2RA/CSF2RB"
"GSE94438","HALLMARK_ALLOGRAFT_REJECTION",1.86286579235974,5.18672227512217e-10,3.70480162508726e-09,"C2/SOCS1/GBP2/WARS1/STAT1/TAP1/IRF7/TAP2/CD86/IL15/RIPK2/CTSS/PSMB10/TLR2/HLA-E/HLA-A/CD1D/IL12RB1/IL1B/DEGS1/CCR1/FAS/TIMP1/CCR2/IL18/IGSF6/IFNGR2/LY86/ICAM1/IL18RAP/SRGN/B2M/TLR1/UBE2D1/GPR65/TAPBP/HLA-DRA/JAK2/FYB1/STAB1/IFNGR1/CAPG/CXCL9/BCL10/CFP/HLA-DMB/DYRK3/IL2RG/BCL3/LCP2/HLA-DMA/TLR6/KRT1/IFNAR2/ITGB2/EIF5A/ELF4/LYN/NCF4/SPI1/ST8SIA4/CCND3/NLRP3"
"GSE94438","HALLMARK_OXIDATIVE_PHOSPHORYLATION",1.79362566765601,2.19775558788576e-09,1.3735972424286e-08,"TIMM10/DECR1/IDH1/HCCS/ATP6V0E1/COX15/HADHB/NDUFB6/SDHB/ATP6V0B/COX5B/COX6B1/LDHA/ATP6V1F/TCIRG1/VDAC2/ATP6V1C1/NDUFS6/COX6A1/COX8A/NDUFB1/ETFA/RHOT1/COX7B/SLC25A20/NDUFB3/ATP6V1E1/NDUFC2/ACAA2/ATP5F1E/UQCRFS1/SDHD/MGST3/CPT1A/PRDX3/ATP5PF/ATP5PD/NDUFA9/CASP7/NDUFB5/COX5A/ACAA1/ATP5F1B/MPC1/UQCR10/ATP5MC3/NDUFA1/VDAC1/UQCR11/UQCRC1/ATP5MG/COX7A2/ETFDH/COX6C/SLC25A11/GLUD1/BAX/CYC1/ATP6AP1/ETFB/NDUFA3/HADHA/IDH3G/NDUFB8/ATP5MF/COX4I1/NDUFC1/NDUFB7/SLC25A3/NDUFS4/HSD17B10/ACADVL/UQCRB/ATP6V1G1/NDUFA6/NDUFS2/SURF1/NDUFA8/NDUFA4/NDUFA2/MRPS11/TOMM22/PDK4/POLR2F/ATP6V0C/VDAC3/UQCRC2/ATP5MC1/TIMM13/ATP6V1H/ATP6V1D/NDUFB4/OXA1L/NDUFAB1/UQCRQ/HTRA2/IDH2/SUCLG1/TIMM8B/NDUFS3/NQO2/COX7C/ATP5MC2/ECHS1/CYCS/ECH1/TIMM17A/PHYH/UQCRH/ATP5F1C/COX17/MRPL15/ATP5ME/SDHC/POR/NDUFB2/IDH3B/ATP5PB/MFN2/NDUFA5/DLD/NDUFS7/COX7A2L/NDUFS8/ALAS1"
"GSE94438","HALLMARK_COAGULATION",1.91354663965014,1.09039872801056e-07,5.78257680168415e-07,"SERPING1/C2/C1QA/MSRB2/CTSB/MMP14/LTA4H/ARF4/PROS1/RAC1/CTSH/TIMP1/PLEK/CTSO/SERPINA1/LRP1/ANG/ADAM9/LAMP2/DUSP6/CPQ/MAFF/F8/CTSE/HTRA1/PEF1/CLU/RABIF/CSRP1/GNB2/SERPINB2/SH2B2/FURIN/GSN/CASP9/GP9/PECAM1/ITGB3/SPARC"
"GSE94438","HALLMARK_APOPTOSIS",1.83246868760993,1.15651536033683e-07,5.78257680168415e-07,"ATF3/CASP1/SAT1/TNFSF10/TAP1/IFITM3/GADD45B/IRF1/CASP4/GCH1/ISG20/CD44/IL1B/FAS/TIMP1/IL18/BNIP3L/CD14/RNASEL/PSEN1/EGR3/CDKN1A/GNA15/DDIT3/VDAC2/IFNGR1/PSEN2/MCL1/BID/BCL10/ETF1/TSPO/LGALS3/CASP7/CFLAR/TIMP2/PPP3R1/CLU/BCL2L11/PEA15/DNAJA1/HMOX1/DNAJC3/DPYD/PPT1/HGF/PAK1/IER3/TNFRSF12A/TXNIP/RARA/BAX/AIFM3/XIAP/GSR/BRCA1"
