"study","pathway","NES","pvalue","p.adjust","leading_edge_genes"
"GSE79362","HALLMARK_FATTY_ACID_METABOLISM",1.18183745403591,0.155526992287918,0.194408740359897,"UBE2L6/CD36/ACSL4/CPT1A/IDH1/CA2/ACSL1/NBN/PSME1/ALDH1A1/ELOVL5/HSD17B11/CD1D/HADHB/ALDOA/CRAT/GLUL/SERINC1/ACAA2/ETFDH/YWHAH/CBR1/MGLL/DECR1/GPD2/BLVRA"
"GSE79362","HALLMARK_DNA_REPAIR",-1.03377306461009,0.341013824884793,0.415870518152186,"SSRP1/NELFCD/NCBP2/GTF3C5/POLR2F/POLA1/ERCC2/POM121/AK1/SNAPC5/RAD52/NFX1/ITPA/NME3/USP11/ADA/SNAPC4/ERCC1/NT5C/IMPDH2/RPA2/DGCR8/AAAS/RFC4/NPR2/TARBP2/SRSF6/LIG1/POLR1C/POLR2H/ERCC3/TAF1C"
"GSE79362","HALLMARK_MITOTIC_SPINDLE",1.03518129162791,0.387213510253317,0.460968464587282,"LMNB1/KPTN/DOCK4/ABI1/PDLIM5/PCGF5/KIF5B/STAU1/MAPRE1/CTTN/KIF1B/MARCKS/STK38L/GSN/YWHAE/CDC42EP1/ARL8A/MAP3K11/CDK5RAP2/PKD2/PPP4R2/RANBP9/ABR/NEDD9/ARF6/PREX1/PXN/ARHGEF11/NCK2/TLK1/BCL2L11/CDC42/FSCN1/OPHN1/CLIP2/CAPZB/CDC42EP4/AKAP13/CLIP1/CDC42BPA/FGD6/APC/ARFGEF1/RICTOR/SOS1/HOOK3/MARK4/MAP1S/FGD4/ARHGAP27/PAFAH1B1/WASF2/SSH2"
"GSE79362","HALLMARK_G2M_CHECKPOINT",0.993701363107868,0.475903614457831,0.553376295881199,"MAPK14/MAP3K20/H2BC12/PML/LMNB1/EGF/DR1/TGFB1/RAD23B/BCL3/KPNB1/ATF5/KIF5B/TOP1/HIF1A/MARCKS/CUL1"
"GSE79362","HALLMARK_BILE_ACID_METABOLISM",0.980814580459469,0.501404494382023,0.569777834525026,"IDH1/ATXN1/ACSL1/ALDH1A1/GSTK1/BMP6/FADS2/AQP9/HSD17B11/HSD3B7/ABCA1/ABCD1/SCP2/PEX11G/BCAR3/PEX13/CAT/SLC23A2/NEDD4/RXRA/KLF1/PNPLA8"
"GSE79362","HALLMARK_APICAL_SURFACE",0.929316921309594,0.565217391304348,0.628019323671498,"PLAUR/FLOT2/LYN/ADAM10/APP/GHRL/B4GALT1"
"GSE79362","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.900332684526948,0.620481927710843,0.674436877946569,"NKD1/JAG1/NCSTN/FZD1/NUMB/CUL1/ADAM17/RBPJ"
"GSE79362","HALLMARK_HEDGEHOG_SIGNALING",0.874343877061975,0.655763239875389,0.697620467952542,"PML/DPYSL2/ETS2/TLE3/SLIT1/VEGFA/OPHN1/NRP2"
"GSE79362","HALLMARK_KRAS_SIGNALING_DN",-0.880259494182556,0.741935483870968,0.772849462365591,"COQ8A/SGK1/CCDC106/CLSTN3/LYPD3/GTF3C5/GAMT/TAS2R4/TCL1A/IDUA/MSH5/CELSR2/NR4A2/SIDT1/TFCP2L1/ZBTB16/WNT16/STAG3/GPR19/YPEL1/PDE6B"
"GSE79362","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",-0.846441282853981,0.876447876447876,0.894334567803956,"XPOT/EXOSC9/EXOSC5/RPS14/GEMIN4/DDX10/EDC4/WFS1/EIF2AK3/NOLC1/IMP3/ALDH18A1/ARFGAP1/ASNS/NHP2/HSPA9/GOSR2/EXOSC2/LSM4/EIF4A2/EXOC2/BANF1/EIF4A1/EXOSC10/RRP9/CXXC1/DKC1/FUS/NOP56/TSPYL2"
"GSE79362","HALLMARK_SPERMATOGENESIS",0.728180117893674,0.924963924963925,0.924963924963925,"SEPTIN4/PGS1/STAM2/AGFG1/HSPA1L/ACRBP/TLE4/PRKAR2A/CLPB/IP6K1/TALDO1/CHFR/JAM3/CSNK2A2"
