"study","pathway","NES","pvalue","p.adjust","leading_edge_genes"
"GSE79362","HALLMARK_XENOBIOTIC_METABOLISM",1.822317990657,7.6352801302084e-06,3.47058187736745e-05,"RAP1GAP/FAS/SLC6A12/CD36/PGRMC1/ACP2/GSR/PROS1/IDH1/CA2/TNFRSF1A/PDLIM5/GCH1/ARG2/SMOX/ELOVL5/TMBIM6/KYNU/AQP9/GSTO1/PSMB10/UPP1/ALAS1/CNDP2/MAN1A1/ETS2/ABCC3/PGD/ALDH2/PINK1/SLC1A5/ETFDH/SPINT2/KARS1/CBR1/SLC22A1/DDAH2/PDK4"
"GSE79362","HALLMARK_IL2_STAT5_SIGNALING",1.76570928756719,1.12789574029e-05,4.69956558454168e-05,"GBP4/CD44/PLSCR1/FGL2/CDCP1/SELP/TGM2/SOCS1/TNFSF10/IFITM3/SH3BGRL2/PIM1/ST3GAL4/GADD45B/CA2/CTSZ/FURIN/CYFIP1/TLR7/CXCL10/GLIPR2/PLAGL1/SELL/CISH/IL18R1/GSTO1/TNFRSF1B/GPR65/IKZF4/SMPDL3A/CSF1/RRAGD/NFIL3/AHR/CD86/DENND5A/MXD1/SLC2A3/CDC42SE2/MAP3K8/CKAP4/SLC1A5/P2RX4/BCL2L1/IL4R/P4HA1/BMPR2/NFKBIZ/TNFRSF9/MUC1/PRAF2/CAPG/IFNGR1/GUCY1B1"
"GSE79362","HALLMARK_ADIPOGENESIS",1.74447629663231,1.85545941436753e-05,7.13638236295204e-05,"ITGA7/AGPAT3/CD36/STAT5A/STOM/PFKFB3/IDH1/SQOR/RIOK3/CD302/DHRS7B/TANK/PRDX3/BCL6/RAB34/CAVIN2/LPCAT3/MYLK/RNF11/GHITM/ALDOA/APLP2/BCL2L13/CRAT/ABCA1/RREB1/ALDH2/RTN3/SLC1A5/ACAA2/SCP2/SDHB/PPP1R15B/PIM3/NABP1/TKT/MGLL/BCKDHA/DECR1/GPD2/ESRRA/YWHAG/SOWAHC/POR/IFNGR1/PGM1/SSPN/CPT2/CHUK/GBE1/SLC19A1/GADD45A/SLC66A3/CAT/TALDO1/BAZ2A"
"GSE79362","HALLMARK_PROTEIN_SECRETION",1.85812660251588,2.81863574988807e-05,0.000100665562496003,"VAMP3/STX12/RAB5A/SGMS1/GALC/NAPA/CTSC/SEC24D/RAB14/SEC22B/PPT1/LAMP2/KIF1B/ABCA1/CD63/TMED2/ADAM10/ARF1/COPB2/VPS4B/VAMP7/PAM/GNAS/ARCN1/ATP6V1H/TMX1/SCAMP1/RAB22A/ARFGAP3/SSPN/GLA/AP2M1/STAM/USO1/COPB1/ARFGEF1/SNAP23/AP3B1/RAB2A"
"GSE79362","HALLMARK_E2F_TARGETS",-1.64952974830413,4.59797176730393e-05,0.000153265725576798,"TIPIN/CKS1B/RFC3/PAICS/CENPM/SNRPB/H2AX/MCM2/WEE1/MCM4/KIF2C/NAA38/PSMC3IP/RFC1/NAP1L1/MMS22L/SYNCRIP/NCAPD2/ATAD2/ORC6/RAD51AP1/RAN/SPAG5/PCNA/XPO1/SHMT1/MLH1/PRIM2/DUT/TRA2B/HELLS/MSH2/EED/BRMS1L/TUBG1/CKS2/UBE2T/CDK4/SUV39H1/XRCC6/MCM6/PPP1R8/ASF1B/RPA1/CCNE1/CSE1L/PMS2/HNRNPD/POLD1/PRKDC/SSRP1/STMN1/CBX5/DDX39A/POLD2/DCTPP1/DNMT1/NOLC1/MCM5/RAD1/PNN/MRE11/NUP205/TIMELESS/NUP107/MCM3/UNG/EXOSC8/CHEK2/RPA2/DONSON/CDC25B/LYAR/LUC7L3/PAN2/PRPS1/POLE/LIG1/ILF3/RANBP1/KIF22/CTPS1/SRSF2/TBRG4/RBBP7/WDR90/NOP56/MCM7"
"GSE79362","HALLMARK_MTORC1_SIGNALING",1.66821458150462,6.92889030949248e-05,0.00021652782217164,"DAPP1/WARS1/SSR1/FGL2/GSR/IDH1/GAPDH/ITGB2/ERO1A/MTHFD2/UBE2D3/CDKN1A/TBK1/CTSC/ELOVL5/ACTR3/FADS2/RIT1/RAB1A/NIBAN1/HSPA4/ACSL3/ALDOA/NAMPT/ETF1/NFIL3/ACTR2/GSK3B/SQSTM1/SLC2A3/IFI30/GLRX/SKAP2/SLC1A5/PPA1/SRD5A1/ENO1/ATP6V1D/PGK1/P4HA1/LTA4H/MAP2K3/SLA/EDEM1/PGM1/GLA/GTF2H1/SLC7A11/GBE1/USO1/G6PD/TXNRD1/SLC7A5/NFYC/PDK1/RDH11"
"GSE79362","HALLMARK_COAGULATION",1.80757006147326,0.000110260665179076,0.000317660256513502,"SERPING1/C2/MSRB2/CLU/ADAM9/CTSB/SPARC/PROS1/FURIN/ITGB3/FN1/PLEK/MMP8/MMP14/SH2B2/LAMP2/C1QA/SERPINA1/CTSH/GSN/DUSP6/CASP9/ARF4/LTA4H/C1R/CPQ/GP9/CTSO/RAC1/MAFF/LRP1/PEF1/PF4/PECAM1/MMP9/GNB2/CAPN2/ITGA2/GP1BA/KLF7"
"GSE79362","HALLMARK_KRAS_SIGNALING_UP",1.6892847530624,0.000114357692344861,0.000317660256513502,"PDCD1LG2/F13A1/CTSS/SCN1B/TOR1AIP2/GADD45G/F2RL1/TMEM158/PSMB8/ITGB2/ERO1A/CA2/PRDM1/PPBP/TLR8/CXCL10/PLAUR/IL1B/LCP1/PLEK2/MAFB/MMD/TRIB1/MPZL2/EPB41L3/KLF4/TNFRSF1B/GALNT3/EPHB2/VWA5A/BPGM/LAPTM5/LAT2/ADGRA2/GNG11/ADAM17/GLRX/DUSP6/GPRC5B/CLEC4A/C3AR1/FCER1G/AKAP12/GYPC/ADAM8/TMEM176B/MAP3K1/CSF2RA/GUCY1A1"
"GSE79362","HALLMARK_PI3K_AKT_MTOR_SIGNALING",1.73907860036001,0.000483986180704003,0.0012736478439579,"DUSP3/DAPP1/RALB/STAT2/MYD88/UBE2D3/CDKN1A/TBK1/TNFRSF1A/MKNK1/CAB39/ACTR3/RIT1/GRB2/ACTR2/GSK3B/SQSTM1/SMAD2/ARF1/RPS6KA1/MAPKAP1/MAP2K3/PRKAR2A/SLA/PTEN/E2F1/RIPK1/RAC1/AP2M1/ARPC3"
"GSE79362","HALLMARK_UV_RESPONSE_UP",1.62502179824113,0.00103529181534415,0.00255588018072342,"TAP1/IRF1/ICAM1/SLC6A12/CREG1/GRINA/SOD2/ATF3/MGAT1/CA2/FURIN/RAB27A/ATP6V1C1/GCH1/PRKCD/TMBIM6/LYN/MMP14/DLG4/ALDOA/JUNB/ALAS1/PPT1/CDKN2B/HLA-F/ARRB2/NFKBIA/NUP58/CYB5R1/SQSTM1/DNAJA1/SLC6A8"
