"colnames(m)"
"Age"
"Gender"
"Ethnicity"
"TBStatus"
"GeographicalRegion"
"BcgVaccinated"
"BirthRegion"
"TST"
"Tissue"
"HIVStatus"
"MeasurementTime"
"PatientID"
"PneumoniaStatus"
"exposure_latent"
"index_case_disease_site"
"smear_of_index_case"
"modal_x_ray_grade"
"SputumSmearStatus"
"sputum_culture"
"bal_smear"
"bal_culture"
"isolate_sensitivity"
"Code"
"TimeFromExposure"
"TimeToTB"
"Progression"
"sample_id"
